id,text,tweet_url,"É violento?
(1=sim, 0=não)","O candidato é o objeto do comentário?
(1=sim, 0=não)","Comentário é racista?
(1=sim, 0=não)","Comentário é machista?
(1=sim, 0=não)","Comentário é LGBTfóbico?
(1=sim, 0=não)",filename
gAAAAABj7je3M-64qL6e1v9gQeTP4W_LwjdhROf0wwB4x4ojgimPjdSSMnmPQRxMSdpwdctXi6GodKv2uvMxYE2hcQUsLgBb9zDowDG53V1gj7HkVNXb7Hw=,@joaobettega_ VAMO DE BETTEGA 30123,gAAAAABj7je30uTMjRVR0vHUglm65JxN7CZrT0qk3_O7hID9WkY_cm2InO_tPBdPwcM_ENzELmftbDyc0ZzwTfLto3nh5zcOkQ8FuDX8VXiMpUTRhDzBxp5IWU3TkaASRFctVxEYau490P5g-Hj05EeUM6Ru_tKu5Q==,,,,,,../dados/brutos/eletweet22/tweets_anotados_controle_A12.csv
gAAAAABj7je3fxER5SSF8PX3bC_P0IleUda_aaZjfA4NdsqOy79A1HOiBhOe5i76IAzMGjVN0y3hNeCIf0fMKkwHXD0j37-BG_luz2vNbBkE2IBzdpHgL4k=,@AbrahamWeint Vira casaca traíra,gAAAAABj7je3DGPCYuEo-L04gdvLPvvazt_NxlQ0h-SFS8q62lfp_lDymcG-dROkc0de6QUgUsqegZVym5F1VTMj7Jal-Rkvc0cKNtqSc5K1K42SzP-FWUQylDRkfVSoudRLsmJiX7YLBFS-kPQNpMO4GRGwyD2B--uLLmB83UaS2vNvpfwZjaE=,,,,,,../dados/brutos/eletweet22/tweets_anotados_controle_A12.csv
gAAAAABj7je3YsHkzxzTZhqFZCd4iJ7SfAMg9AkTnxJ6nL3FsqOqEdHhC2ShPWzNc7LYqKfkTEhWlP-K_4YLoYG2_pXjt0Hd5jjFCpQ1JBw4Gt6Ou_e1bOY=,"@carteiroreaca Fala vagabundo, usando muito o fundão pra ir na cornociata? Verme apátrida!!!!",gAAAAABj7je3vjhOwoFADctONb8Iz9jr1DTOO6x2SHFrwW5Ffvr4bCZ-P0jhCjQHYD8CpgfXoUx80BAlrBPmMBZTSyPSpSfjd2iNSWmTbJn4g03asb5tb3Cyv1XXvSifnsGdj32xPl5aIJUTqLLA9TSvspWMuElkHYX8DSx2nWY1TbVEAiCPH7M=,,,,,,../dados/brutos/eletweet22/tweets_anotados_controle_A12.csv
gAAAAABj7je3ezSR9uGwYNeXaUCWd5yrgsH1QqgtPG99lpi1LrLPgTko8nAzj5gnvLdEQjsAAiY09TeX317DD_ysatYHpHfNuXSqpJDcNwADZAbcvxIYkyI=,"@simaopedro_SP Tá lá, fazendo escada pro bozolóide forasteiro. O Novo é isso, bate pau do bozonarismo.",gAAAAABj7je3Eiy2SYjjpn2HkEHnBR13UAQFv7AOS0XcTIzfRTXj9o3iRxTmdsyFZ-nPyJLXPbgam3YJDlWvj1OLSrHalhN6knra6_sRm44H1xHQ1Knlk4vdIiTDHvRn0LNNxE3O8akHoxfp0ZuEU9T1NAYzYzraRA==,,,,,,../dados/brutos/eletweet22/tweets_anotados_controle_A12.csv
gAAAAABj7je3ckttQri6659Sbzv6sqyLFT_yhl_l3LeJC4KvUGidrccp7YLQ8b3mUnnFBjrrqe-2rXKccUwnwf34Ws6zx7c4M0GZmp6Rv0_3zuaFFqN2plU=,"@Glauber_Braga 1️⃣3️⃣
5️⃣0️⃣
5️⃣0️⃣0️⃣
1️⃣3️⃣3️⃣4️⃣
5️⃣0️⃣0️⃣5️⃣0️⃣",gAAAAABj7je3dEXarsdKHyhBfGe9MjTyL4BpNAtqgguxnK_LR_YjgihDWLVCkA32H_nr3Zdm90SkNF9OVhjNEWXOwxqkt2xfeh9TNDUnEKKy2c6MHcFzbxAIgYlSNtMwG__AHi1f9uGNz_9AXMiCZJz2jvxwQTx2yQ==,,,,,,../dados/brutos/eletweet22/tweets_anotados_controle_A12.csv
gAAAAABj7je3gG2CuAQbDnz5wLDd7_DXX74TCIIuaAwlgrzBaeJicytgFAe2jMgt2N-06TjO5uwhMDMkZ4edBs-fg6BoKK-b7-alp1hjfUxrP4HLKeYjkUc=,@BoniCoverRei JÁ COLOCOU NA ENTRADA E NA SAIDA DA PONTE PENSIL E PONTE DO MAR PEQUENO ?,gAAAAABj7je3ClCYYXHN6kKVD2kHP_mtmXxAvJeAM5I8gqHW5f-d0ceMdTnfyRy6bKMVdyQwmNsMJcaJNiBx3XoK8aMRLmyYrb74-IgUHSp9bMk2ClM7m7X7RbQ_FH1iznEXJ2ilJIi1kApTKQMWXAsvHIxem7hbtw==,,,,,,../dados/brutos/eletweet22/tweets_anotados_controle_A12.csv
gAAAAABj7je30Zj9pquLMZ-01SwMPqYndL56PgICDyygvTETBlsZepU7A0WallO7HGAYc9-wF_gweiZ-hzUPPvBctlyshGXTLgYgT4PInaZLsEVs3EEfcmM=,"@augustodeAB Lulista falando que é no primeiro, igual bolsonarista, tudo farinha do mesmo saco.",gAAAAABj7je3CXGlku26n8aS1lbOmYtKDIy6U5m2EPsZGtBZ4wOhIuRsn0UWQ_ODmUuoyldqtb4DCkqlCeaUhCkroNQQH_h84Gc7IiRAAjHMZ69XE7z_vyiuVoil0weto_AD9J8P_R2-mbCGJpqcCapTcY2OjQSBCQ==,,,,,,../dados/brutos/eletweet22/tweets_anotados_controle_A12.csv
gAAAAABj7je3N8q8wfrMwxkGfwBEeXxX9Iah34CZ9qQ18_VSNalLovZ5TUhV6iUpW6cOYaFjvbTWVEXre1GhZ2kwhcG_QtBd7Rzm7Z8Rn1Z9r2Z-RNqHs4g=,@RogerioCorreia_ @JoseAloiseBahia Tirar o Zema,gAAAAABj7je3Dypyz6IIzfIZoHQyAQzgUppMG9ZDsJQsUNnruZvNuzgh-bEeh12QpFHBjKi_mYC2n9nzBtOg_bQz94cfIOcQmzuP1xwTUVqBPmibwyBZGVDC8ssy7PxkgjG9jEJpanuSmMIlEFadx5t2_54zaEHjAa0_9fST0GiaTlSBMSG4Plg=,,,,,,../dados/brutos/eletweet22/tweets_anotados_controle_A12.csv
gAAAAABj7je3SdwmQRpBTk-Dr-jcvSUo0ca843lgx0_MCx2CX_DgcJOloEqnem6GRIlRjfoLrDR86HTKLt1TU1SqfJCpLipFQ4Jkxh6Ajcx00PQxLoqfePg=,@depchinaglia Vai cagar. Fome com 600 paus por mês. Deixe de ser babaca.,gAAAAABj7je3woT9MRYm5-DxNyr6ijFuA0tlyZq7vMif2Xuf2gbLssXQRB5ThxMVVsGn7pXhxTwQiKp_8AHCxEzaQqmtkyQi7cw5Sid6DaEFz-C-MODxiws3yZVnIJ-HTPs2BXjuPH3ntyX6eCRU1EFH35-bJVtrzg==,,,,,,../dados/brutos/eletweet22/tweets_anotados_controle_A12.csv
gAAAAABj7je3DqyHl2vhna7jk8LUsJ4N-9W-7CS5Ep-hrfXesl7G75e3SIbZob6UgLzywY0N5m1gNHIRoyVW3t_79joyanseJiuCrTb9H5IVHia9L1it1CI=,@DFDanielFreitas Nenhum :),gAAAAABj7je3FpXscLhAdziodFTU09hM78hKIxztpFAVBSxDG06lq6F1EcXbIrDa8vabG7sqE6qqkcOhb3JUiWjg2gIONXQz5WCWdEwWL85WXRGO4BHLTqggGmE4SwX6qXHVd6Vqjk2boGNumcyRcdVR55O8i9PZG1p8VrTFe3t6nbDmn7F5AFU=,,,,,,../dados/brutos/eletweet22/tweets_anotados_controle_A12.csv
