id,text,tweet_url,"É violento?
(1=sim, 0=não)","O candidato é o objeto do comentário?
(1=sim, 0=não)","Comentário é racista?
(1=sim, 0=não)","Comentário é machista?
(1=sim, 0=não)","Comentário é LGBTfóbico?
(1=sim, 0=não)",Unnamed: 8,filename
gAAAAABj7je3XzdgDoQJ02pkfavShNXHNkMfxOnmNPBAi86jrubHHnd92BGbieR89AiToSGDGTWJY1-dfoqifR4fS3X4xo3CFyaTFoC4ALRGw7TgsXwG7xM=,@VaiPaolla E o cara com tatuagem do Lula que matou mulher e filha? Esquerdismo e feminismo são 2 doenças que devem ser estirpadas da nossa sociedade. DOENTE!,gAAAAABj7je3xzixsode1jVWrMmqYvUENXJAOE-D1TnAs9a-dRZU00uWxDhXTesX1bQzv7kXiMc9DGeU46mNM8-ogJC5h9DZQScxYVQ-ZZnTn4IasteHKWnn7iuQt8NKTKmrACGDLhIbRTeP_J0MppTGjVhr080lbA==,1,0,0,1,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3xyMKcukYvrl79wLJfegUbA5QlZOiuWG1-iPanC9szS19D2HGp5S3qKe-EDxLpoMYVB160OzkfsRkJHrukWeWlKgqQZt4bLAwNvzPKw6KoGI=,@AriadnaArantes @jairbolsonaro Oferece o que vc já toma pois vc tá acostumado ficar com esse bumbum guloso a disposição das hemorróidas,gAAAAABj7je3sRmY-ONwSdc-NKe4W8F4FL_DZuJYt_Tu58ztezwkoMiFiyHNOf3zPJjYIIBSFusQWxGNPjkvFgYoGAThZ9hTdnlRuflWv5mUnuT3YAeNWYK-rjGBvPfSFgkorZfLvyVR7ugnZMzj5vR4N7VP5pSKqw==,0,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je339gAgHj3nl60ozhOKlFfT8Tgyvh_xCyfrQTUIA2LvPhvB2VIOK9DkfHvCrNYnbYWGg0di_8QFGeeK_K0vzZ1AdRve9C_VRPmKGIn-xtCyHU=,"@BennyBriolly @LulaOficial Capacho de bandido tem mais é q se fooder mesmo

Vai la lamber o rabo vai dog obediente",gAAAAABj7je359S7xGjFwAe3a9EoRexyHq6AvTLu3q2w1CkAmTcXxKj4Iem4ZWV54DiC09IW2kZlquPCFJYynwUf3Ip3fAFlacrJPzCRGG1c0UBCPu2lHx7ndjT2HHev8p6ln2k5VKKmKNf3tHRUSQ1iBEvMqGaJmTa9hT-iSlcOhIIooyzO5Ro=,1,1,1,1,1,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3xAn-j8TH_nRpgAku2iSlEnywKHQhcFKzoUc8UIXpWbjYzMqbGr07mIey1b1TpE4PJZzYduTCG98GYTWcY9sri8Nr_fonbfN9zUsiWWiuqJ0=,@castelllovini puta merda 🤢,gAAAAABj7je3Pu2J8oylh5ot6INVbx_dLIDCP-dQLEDwGQ5BzRCBn3_d_Pb5-PDY_JwCotIr7Q-ouIPgawGiGm8DkN4-oDvX6HI25_2GiadLCDqotOc06EldIAM-0nyAAZMKcBDprkj2RYsLdsQEsJ9n8vfeh_iDig==,0,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3b6BfAMFuMaPkN2ZkZs0a2VlZgSnN2m1Y78DjqCmIr6aT22K944Qzui9L_U8RoJVrod4Ly23Y3Ns1fQi-KKbfLpAM5O7c7_4_BQohdponG_8=,@dudahidalgo13 Gostosa,gAAAAABj7je3kmZdSvYIVrWLIMu6f73xlODn5eJZxSOaVH8sC4TZKk5daNIwoWez8yvi9xGLTXxJgJZtG59w2sz7yg0mB5ctAv5tBDnME93hzzs5Cz7gmGf4SpbOw8139pqOnYo-Fj2jEJvKh0V-dHRaIiwcfKQci9H14L26KqaMSqJwmt9YkOo=,1,1,0,1,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je359V9uVYehMDvOZB2DjH02ktlO3jGcfKsbO4Jt0zmYCXfVzUiVb49Nhex7owb-TVpyW1hwXZkLHa6iEpJ712DWzlTOeoKlyOBrpEEaAMUp18=,@mariamarighella Rasteira nesse pombo sujo,gAAAAABj7je3KcZi_Ads86drn2SJgOFdBYkgHur469gjREUNWkoZAA7SiuZW3OpE6kIbf3gK6jMEH3_BCfXds84attQ6mwL2Xi4ZQf9Eyl98DMslx1SEIFzfyr_BRU_buIXNGTMMqHmypEQlQdbSWbkNYHYmKW3BbA==,0,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3GEXhKL_vkqZFbIiBfsmYGPyRmFMb-tj3-BGbHZcYIVWDjCE-uMihfxVyAPusgdFjwX-lCDXsIcEsye3OYQwJpBO1m3VXmuuEA46cr_0jpXE=,@castelllovini @scaluniaa Gostosas com Vini!!!!!,gAAAAABj7je3H0ViC1CV6_A7OIgGVoPwtkZn3wg2SR4VcAejHlcEQUw2hDGr8wXBKNxNIdeAxJ3eLiBqf9Fq7MGpu3VpwigG7d16MxYgWxgPFHOtoZ6ZH-jjN6iDZJRhjeJedbyq1mVeEMMz2lm6xHRNXbZUDIsqrr8cpy2WTurL34DDwgcEz98=,0,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3w97mS87znZ2VvHfhs4lyXuJs9UccC0p5eDYAK7Eb1FRh8rZZ1HImrspvHmKhHAmEQ1GDq89LV0MxVf1ofB00n_j1g6DqaaYulKUkc7G59wY=,@PabloAiresRN Pica ta,gAAAAABj7je38NlOaLRdkIaeu2THjzHjqOJ6ruakn-HFH-qE0KUmIixEzvTRePcNzGHsmNvXkar7yTORWx0DIOg4bQiublwg_GFfkDJu-hV7bxhauNyF92tNLetp8S9718nsrihvb69GNBZHo_P-vJgKVGXKMRW7aA==,0,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3Bz6JzG9wqkeQCUCDxszEyBh7IvR8VYTr_1KiBXp2ghfc7nfLq8wXuMk4jfzkgYvmpq7yeFWUzwqldBn0lJFSXL5kpzM078sI9JYLON9teDw=,@Izalourenca Um bosta,gAAAAABj7je36VrxjhbrlQQY180Kb9KGXOBwFgBtulu0BzaaK82K7dZdnRHbeG98VAtd583qxyy63riPSte68NMmoxbDPyPwNxEvCQ3S8_KOiEr-wiqt3tdY9HFxKA6xTUKMMulL5lSojxHeOBrdqao5LRY1Wo2b2Q==,0,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3DDHsCQ1CPOnq7_-RWGU1V7Kcr7dgygXZS_l96GsD9aFNQ7tlPBe4EZZQ3CApdlYO3Lj7ITvCz82OliaxTU7tIgFAhxzw--6_0nOX-cZXUH8=,"tem seborreia a calvície dele para na bunda ...🙄🙄e quer vir falar da nossa deusa rainha melhor de todas a mais bonita cheirosa carinhosa talentosa gostosa de fracasso,e por causa disso que eu deixe-o todos os fãs da ariana xingar ele.
@AriadnaArantes",gAAAAABj7je3rDvjiQuMbqgKmg91jPDaN2DSW5HazXHN-ED3hks1wG62eg0atN7n6VXGAxltmIGV8qmxlZRjy6M8HQC255RSi38ouRkwdO4_kGGMv_sNs5echkxjRi1FYDvWg5r6LJ9VqyNhsrYvf7PBsg8sceX_Yw==,0,1,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
