id,text,tweet_url,"É violento?
(1=sim, 0=não)","O candidato é o objeto do comentário?
(1=sim, 0=não)","Comentário é racista?
(1=sim, 0=não)","Comentário é machista?
(1=sim, 0=não)","Comentário é LGBTfóbico?
(1=sim, 0=não)",filename
gAAAAABj7je3tZCFIBa2AjXOmIsBHdhb8Ju6ybKtOTFXD-ZXmb_8L7Ez8sOj0KPhh6ocZK9XLdp99Uzp_LmmSXAJVwfeV8S_5pOWHLzLrH-ChXuHiUDtOpE=,"@GMonteiroRJ O Gabriel monteiro n pode comer uma puta de 17 anos
Mas o caetano leproso pode estuprar uma de 13
Blz",gAAAAABj7je311UnSk4gxcknGp8uIZEh8bMQMmq9QkqCoWa8WzMKDWrNnPkl5s9pAhM4Rtv4d3q8IyjlIvge8YkTPfh5WssEwCrjHJW8Lo5iCcM-3ReEcF3nn0brLUpgIKlVq3aO5Pzj42FgPIgwfAFOBSkVBkgcHg==,1,1,0,1,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A13.csv
gAAAAABj7je3SH-uZO3Bv-ZwMLhs-LYQuwfhtSGnpE27bNAqy-jcecFuR4BRhrViawFxfa7DfJrrXXaIfikUf6OaF3v1ZFataKeeNyJtjRWeT4JNKIBo4JQ=,"@camara_sette Monta uma liga só pra vc e seu timinho de merd@ ai do estadinho di queijo 🧀 🙃😅
Essas galinhas já eram,só ganham na trapaça, vai nem pra liberta,kkkk🙃😁😆😅🤣😂",gAAAAABj7je3FyhK9VY3yGmDp5RotplXh8FVr4X6XG3euWEN5tnuuDQdxAxhYH-7OPaxaMYZUg-mR1E_N5tgzfTSvzxug1i2XGWWHSDgt7CcfzhzrwZJo0M8p8jmPPSwuAFDsA9oAaf9NrilEW9duimeyd9138Fkog==,0,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A13.csv
gAAAAABj7je3CDgGBPLdteWX6Fwi_Pc6eiqv949vO3-TeysQfUyOhC47tbpg5pj__XBnPc3bKyfPY_AbBlIO2HizILEH5gb6l67EjA3nxIxub0DhfvVCRf8=,@AriadnaArantes @geraldoalckmin Até parece e6uma iludida mesmo kkkk,gAAAAABj7je3I920MeyclhCotyQv5KtyRtg69YB884dDuEB9jm_Yo-zDBuoIk1M1J_woynaLbu8GQSpWSykcj02CP1CrdrlxH6O5rUx1cIpjjdTPyxEmB8EPn_ECUDmF-2QNSalOqMEfjV6ORyspcH1P09hxIGwo0A==,0,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A13.csv
gAAAAABj7je3QCVD7nFaUzpwserJ6_vzfMhjqlpC39RcRygeL4b6R7ahRmL3jZ1z1IXOShYBLpLDy7NTwFT82cbKUu7VDy-6sv2BvWMGfQwWyu9-Aqb5lww=,@PabloAiresRN o cara já se afirmando como planta kkkkk,gAAAAABj7je3CEvKtukyORKMiBelheQzoXdetNWEA4wrVnvD3-oEvOxUP49KCvF0ypu-piyooUo_8THTtEZwcXN5tuy4f7xpVhWAQxdS64xpIEs3VC8BboVKjA6iz9mDgbYgJHJk0NAUb97begsJX9BQ0wTXCpLfC70ozPP8v9kjKFk8zPegRSA=,0,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A13.csv
gAAAAABj7je3hkynJjz1Soh1nXIsNiUkx9gd2di-Hwg9pdnXmsAuXp_So1Ur9zKkaC3U9jkzQQl0KR1abV9YqSg8p_rIooykWXYjfh9ehfyooI3Bq1Sr28U=,@beatrizcaminha @JanjaLula Kkkkkkk. Chupa cana,gAAAAABj7je3gFDnGSJ5GeyOYsbW_i-LKRqaWq0ja-11ixhIjobBoivIDBXLiW3O1-jWgRQX-LAJnZowXBLp46FbaNxUXHfy8WAEsQQRJOFIbv4sPF52JV8GVkdzulSemAeIe0UJjAUsPMHBPLOe5YkCgBKtd2csbA==,1,0,0,1,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A13.csv
gAAAAABj7je3_cIXeSiDfpP1Pmtab0b6FRck2CNXwRq-BhBDtKBB35id6f6T7jvz0mg5n9wqngcYsPu5EbEredzIY8RgjZAl2M8SF357EtUbmY7g3vYs5vc=,@taliriapetrone um BANDO de vá vag4bundos,gAAAAABj7je3K0gDeuhyV4iHKbf0pCeU39vMKi--yi8ZEnqyqJGap33oPOILXOe6eZJD3EIU-tztn4noxLDKyjDliVAxbsatPK5V1AclKYuPEgDtGjEG2l4Bovhoj5pKnJSy1skLlF5xOzWL2ivnyAdRlR484VTBJQ==,1,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A13.csv
gAAAAABj7je3jo2YImBT7s3U2nfXZLtyEMtOQBTSCVEbc5pShN-u8qyogafgJobVroFLRcdpWAVeqr3JXk4C2mthHu32rZlFsJ8xyyiBjtYbTFuamWq6NJY=,@reportersalles @SigaGazetaBR País de bosta,gAAAAABj7je3E2apNz0sjeVS_4TAbnW2x4RVvvUKnJehTUer1IEWPrh_EmdQd6N1-vqaXwrKKNtaqYbyWE5utzchL5IH5QxA77n3oX96k5F5Al1Zrqn9b24FoaMYUSG5HAOM2y98J_D9UvuU7JK5Rl_4rzxeBXAHLzh_WoEOqWlMKum5rIbiLGk=,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A13.csv
gAAAAABj7je3JtO1fUCCv7hzkwabB_iA2eu8lDYnDbYIQjxt0SjTbTQIc6lEaF_4xBjtUYf72Ny8fm4roDgB5qK3iP63Yk1zztj9PKF4xBebennDpz6FNRY=,@DaianeMels @lelispatricia Cala a boca aí namoral,gAAAAABj7je302n7qDPe8eai0_rM-dTwqB2HSoYg7Tg0d6jcBenW68sPEtrHtWcywR5PrxFyTzT5o48nd-TV6vRysXOW-IQnHDZivCk1MpBSh79z0qGfR08V1VCpAYzyCLsvamN6O8vjSvSOAWf2t-rGf5_-PzYDlxublV2J7gvcrlon-lkPbjM=,1,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A13.csv
gAAAAABj7je3WPOK-HpyfAYOGEFvczlJBNLinBvZIgFg7NG051JVhLfkz7GgI49lt2lIXuwLJvuSzK37pnE4AjCNF6KzzVgrVTj2fQEV_WjeOaGK-YhfWrA=,@TandaraCaixeta saia da… caixeta!,gAAAAABj7je35TsDImdoaHi1jgiJ251aVsUO7H3kSiTXoFlO8elVfkUmsq_CTTIUHTw_98UNUXj7VJLETHRs865HKRSgeiZvENy-oMR9elMYiWwiG9Ger8k-5-T-D17KKEI-BRCnpgPnoTDCKrBeGeLlSL5wnxTqIA==,0,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A13.csv
gAAAAABj7je3EN2pG6zhtgU868vAhxDKquLjcPvzEq39zaSnbyFVcRY3jplA15Z-P1l8WeZGKPTwR4p-75LteGebtUw9WVCC4X_hXJa3EchJsSX-0Uj06gI=,@FernandoHoliday Burro e mal carater,gAAAAABj7je3w6AG4YcwXua2nGr-Kuhf4EVOO4YexZsT-07UZOZJQw4LqdLZWcqypFJQyTe0vb1Rm1DuPIF0yuhc2tyP3e9FAyzZVb_KwAqJvxdl6Fbxw2WAW0HO_MMkTAvVrLb-IAcxBS_SBJMBPACGOstBc7EW1PmerdMml97JYVQXMDzq35c=,1,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A13.csv
gAAAAABj7je3h0rZqUgcR4YgvDiHgHd4_2CDb4FdRA5x0TK5STtaYlqo1CJN7A9BPUtysXQvrsDTaBepsMLT0u_pMYaeICQJDDVojtNI6gm_s6B_IZsyH4w=,@jfernandaBrasil É do bando doa pelegos dos lulistas estes dois,gAAAAABj7je3oi7D49zsFvv-tcbf1taFL5H0InqVAiT1VJo5lSyjpLa-M1HDaCki2L9y4tRFvPW4VQHqBloMF0QgRoLEkKilJSWsgl7dsE4gjbA1KgtS6mEmBYs9gzWicLM9XTCt_oM9Anm5Qz9abZicNF24FheOIMu1ozVATPuCE8OttedvgsI=,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A13.csv
gAAAAABj7je3T8SB4HrHYz_BI4NEstcoZlrXXSgWNqViHrTuRzF6vbHspp4Is1R2bU3g_D5Ot5A6CBWZJ2Rskd5KZJtnx-qGlcK0cAZ4FHn1_ZZlUwFKWDk=,@Eunicio teu merda,gAAAAABj7je3lJgTsDyu2lK1mH2fZbdY0IXxtHxhwVT0IFbQCf-HiRPaqzBJivfROFtxUX1fPfZ-Mvc8goGNjxUYcsu84wNIqcG85bH-ocCxMbqalvwJs6pqS7vzMygCNjXGxlJ7YQgmiwcFoqAgqZaYGQoEE9drE8GoFcRTGtQNlfxqb82oBLU=,1,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A13.csv
