sq_candidato,link,tse_uf,tse_nome_urna,tse_n_urna,tse_cargo,tse_partido,resultado,numero_votos
10001622769,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AC/10001622769,AC,DRA MICHELLE MELO,12555,DEPUTADO ESTADUAL,PDT,ELEITO POR QP,5990
10001649410,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AC/10001649410,AC,RUBBY RODRIGUES,4055,DEPUTADO FEDERAL,PSB,NÃO ELEITO,512
20001653530,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AL/20001653530,AL,BIANCA NUNES,15015,DEPUTADO ESTADUAL,MDB,SUPLENTE,1058
20001612339,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AL/20001612339,AL,ELIDA MIRANDA,13500,DEPUTADO ESTADUAL,PT,SUPLENTE,4712
20001638578,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AL/20001638578,AL,ALLISSINHA,70200,DEPUTADO ESTADUAL,AVANTE,SUPLENTE,230
20001716678,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AL/20001716678,AL,HERIK DIAS,45800,DEPUTADO ESTADUAL,PSDB,NÃO ELEITO,234
40001633263,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AM/40001633263,AM,FLORISMAR BANCADA AMAZÔNIDA,13550,DEPUTADO ESTADUAL,PT,SUPLENTE,1669
40001726396,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AM/40001726396,AM,DRA. KEZIA TAVARES,50333,DEPUTADO ESTADUAL,PSOL,NÃO ELEITO,151
40001633256,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AM/40001633256,AM,GABRIEL MOTA,65000,DEPUTADO ESTADUAL,PC DO B,SUPLENTE,3288
40001719265,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AM/40001719265,AM,MARÍLIA FREIRE,500,SENADOR,PSOL,NÃO ELEITO,28557
30001605440,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AP/30001605440,AP,EDEM JARDIM,15321,DEPUTADO ESTADUAL,MDB,SUPLENTE,428
30001605458,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AP/30001605458,AP,RAFAELA ESTEFFANS,1500,DEPUTADO FEDERAL,MDB,SUPLENTE,853
50001615370,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001615370,BA,DRA. ADRIANA CARDOSO,1909,DEPUTADO FEDERAL,PODE,SUPLENTE,1562
50001620952,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001620952,BA,ANDERSON ROCHA,12888,DEPUTADO ESTADUAL,PDT,SUPLENTE,1051
50001600617,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001600617,BA,NEGA VAN PSOL,50777,DEPUTADO ESTADUAL,PSOL,SUPLENTE,1548
50001605377,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001605377,BA,CAMILA PARKER,4324,DEPUTADO FEDERAL,PV,SUPLENTE,615
50001600554,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001600554,BA,CAROL LIMA,5018,DEPUTADO FEDERAL,PSOL,NÃO ELEITO,3343
50001600583,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001600583,BA,DANILO SANTANA COLETIVO RAÍZES,5003,DEPUTADO FEDERAL,PSOL,NÃO ELEITO,1959
50001600621,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001600621,BA,GLEIDE DAVIS,50113,DEPUTADO ESTADUAL,PSOL,SUPLENTE,3321
50001600565,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001600565,BA,LAINA CRISÓSTOMO,5013,DEPUTADO FEDERAL,PSOL,NÃO ELEITO,6778
50001717858,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001717858,BA,MARIA FERNANDA,9024,DEPUTADO FEDERAL,PROS,NÃO ELEITO,133
50001605356,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001605356,BA,MARIA MARIGHELLA,1331,DEPUTADO FEDERAL,PT,SUPLENTE,53364
50001620916,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001620916,BA,ROSY SILVA,12224,DEPUTADO ESTADUAL,PDT,SUPLENTE,902
50001600605,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001600605,BA,VÂNIA COLETIVO CAMINHOS,50074,DEPUTADO ESTADUAL,PSOL,SUPLENTE,596
50001605376,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001605376,BA,VILMA REIS,1303,DEPUTADO FEDERAL,PT,SUPLENTE,60949
50001606391,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001606391,BA,JÉSSICA SILVA,65111,DEPUTADO ESTADUAL,PC DO B,SUPLENTE,3054
50001605970,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001605970,BA,DRA. FABÍOLA MANSUR,40040,DEPUTADO ESTADUAL,PSB,SUPLENTE,58064
50001620878,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001620878,BA,LEO KRET,1224,DEPUTADO FEDERAL,PDT,SUPLENTE,9012
60001613097,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001613097,CE,ADRIANA GERONIMO,50777,DEPUTADO ESTADUAL,PSOL,SUPLENTE,14577
60001613070,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001613070,CE,AILTON LOPES,5050,DEPUTADO FEDERAL,PSOL,NÃO ELEITO,16052
60001633669,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001633669,CE,PRETA KAROL,13138,DEPUTADO ESTADUAL,PT,SUPLENTE,1541
60001613071,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001613071,CE,ANNA KARINA VOZES FEMINISTAS,5005,DEPUTADO FEDERAL,PSOL,NÃO ELEITO,9512
60001613079,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001613079,CE,LÍDIA DO BORA DE RUMA,5044,DEPUTADO FEDERAL,PSOL,NÃO ELEITO,7072
60001633651,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001633651,CE,LUANA VALIM,13220,DEPUTADO ESTADUAL,PT,SUPLENTE,1856
60001633660,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001633660,CE,MARI LACERDA,13131,DEPUTADO ESTADUAL,PT,SUPLENTE,15453
60001613077,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001613077,CE,MAYA ELIZ,5007,DEPUTADO FEDERAL,PSOL,NÃO ELEITO,4111
60001719179,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001719179,CE,PAULO ANACÉ,5020,DEPUTADO FEDERAL,PSOL,NÃO ELEITO,1166
60001619106,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001619106,CE,RAMON NOBRE,90009,DEPUTADO ESTADUAL,PROS,NÃO ELEITO,161
60001634340,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001634340,CE,SUED CARVALHO,8080,DEPUTADO FEDERAL,UP,NÃO ELEITO,2140
70001601774,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001601774,DF,SUSANA XAVIER - DONAS,50000,DEPUTADO DISTRITAL,PSOL,SUPLENTE,901
70001636644,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001636644,DF,PROFESSOR CRISTIANO,4067,DEPUTADO FEDERAL,PSB,NÃO ELEITO,595
70001601743,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001601743,DF,DANI SANCHEZ,5000,DEPUTADO FEDERAL,PSOL,NÃO ELEITO,8958
