id,created_at,text,tweet_url,direct_reply,batch_user,hate_score,target_prob,filename
gAAAAABj7UmKtL3__DiouNRSFB-eJAZNXgbo8S-yue6IpcZ8c6d0gqOQbOyyNUthhC2fc34blX7tuHjInG_nv7FU-Vgfbxkv0CSzqNTzq7-JNzvyP0ERses=,2022-08-16 18:16:30-03:00,@luceliaoficial @LulaOficial Ah sai daí sua louca. Ou volta a fazer novela enquanto dá tempo ou vai morar em cuba servindo ao LADRÃO de nine dedos,gAAAAABj7UmKhDp_Q0GwgIOt4bNFWp7B_x15d88p_5oWZsl3Tj1bTYBRtex-QJER7DodRJO-WE3eA5_0k9Nyx4dMHTnVqFBljXino62W3VOeHtE1MPG24D5tW0qwqf9cdDgXc8uvKVsZKpuEvoP09RL5svwVTzlCqw==,1,301834723,0.7478902,0.999999998820698,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKDyGWoOtu5jYP1bzVTI-ejFPiTaxzopa4_zDwWxpLymbZfM3gLTQgdWk1m_F6RbipichrQOu0OwvKV45iS_MnltulOsgU_z7OJ7UhQQB0kqs=,2022-08-16 17:23:20-03:00,"@VaiPaolla @LulaOficial 🤣🤣🤣🤣, como essa turma do PT é tão bobinha e burrinha",gAAAAABj7UmKZWYNIDXeGs-uhzK1bJLJ_BIEG3_LzLSowBebS65JSpa-2gqZFfTzSiHoCB2A08yVDt86GqciJu0PQYxcpWOLeDZeIVPIhsOln1G9JeDdXuoxzHTCxg7h3jMczuVTmyhmA6JvNTV6d9As6Pzf-aD1MA==,1,51335024,0.28259122,0.6572937782421191,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKjVAhzjhKAAu4jqO1HACCuNboWJPzyYgxsyqsJbw_CLFc0WxjcRaeef4A9r1pXdSe8SUYSw1aZP9ZQHp_HxnbCKIzXneHsl7yWc_18B5xLiU=,2022-08-16 17:19:35-03:00,"@VaiPaolla @GuilhermeBoulos Agora estou mais que convencido, o cara é corinthiano 🏁🏴🏳️🖤🤍Tmj @GuilhermeBoulos",gAAAAABj7UmKqy94pdvMYSyV5DpHMBB4bB9OCcYr_yTQdbPqXiMXL7Vf2RQx4K43lyhTeJPfpnX77Y99bQfm78Bq9OBZlNgzUmSnKOFrYZZ8E8-uKjKz6wSPw5S5x9otBDtiDbPifZ2rxJ_D6ZsaM2aWuW6qST01ZETmE6j-lhHgjTH21b4-Ljo=,1,51335024,0.008751959,0.9981103133996804,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKri_WjVguFXTzxdFB22JSxfLnscEGup0ZHNr_YfGj8V6jL3dYqVoG6VZBv0Psq1thCKMm_Yxm2ElTE50V3vWPnu5OziB_o70Lr-qaYAuRaI8=,2022-08-16 20:47:24-03:00,@CesarAMelllo @rmotta2 Playboy babaca,gAAAAABj7UmKpAlKAY2q258Iy7B9L7nwZGfOkW6koBk-S60gLcWwPgHuyRcVOl-bWrq4wsDlKY6xRibK0FAVK6tmfKnqg7-TrgE4EUwfG3XCAe3VYpyCNIb3dyXUtYvPRytE_E1gSczLpDxYf_t4eJiA4Oft-0OJXQ==,1,1110177096373100545,0.96823347,0.6586983512645748,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmK4SPCQn4jPPn7lXwEikOVLvqjpEgz6zywFU-PN_8kmt4se3j2aDRbPjrjOXAEaAbi2tiCzydX3Sdrf7VReujLMXWbKxk27F-4mXCCrkfdmto=,2022-08-16 20:39:29-03:00,@marceloramosam Ninguém quer conversa com essa carniça,gAAAAABj7UmKmbxPsRUyF4vRG1JSXoP74JZ5AXZVEyI4PW8wDmz4SW7oyx9MJ9YH_5MCny_wSyPWTnnPXYUy1XERoouXHMY0U8OBqJ--DsOlt5BORDYMcXtWCO2MZ_V-EvhWt2AVUDFMvBztQ1xSufHbyiEisb93xg==,1,42228966,0.69660443,0.1254996471176256,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKQOJXKarsyoXo6WS1mFSAcxX3E9Jcxu0cuAsYRCuHpQKF8ArjgJqsB_Yl0nkdlYdWmzC7n9FfU1jz9v_rJguPgYXJQ0O3cuxOtErboylk_HU=,2022-08-16 19:59:05-03:00,@CoronelTadeu Pau nesses vagabundo,gAAAAABj7UmKfyGXtUeV6pFrPFxRaEExg_-ZUg4szcLmFg3EjrbTakQHlSA157P11YkGUjCDtwtLRfP07hUiZi1oinglUJcO7Tm_rippqeX6YnadqDx8YvuiB5qo5dS2lonoqsmMsS5-0PgnCLUaTkd3N4a5DFtendoq_wUBPgWIUcHbM5XbqN4=,1,907301328988332033,0.9641151,0.03740406538700125,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKUOesfyvg74JDTfnecWO4TTTfhepE0Jiad7u4dvVMm5w8gcWeKmQ8BUiioknq4T7hyLh84FQhaN-rZso7GzDF-7GDCui_RwsCKL6E7Zl9UPg=,2022-08-17 00:43:32-03:00,@pauloteixeira13 Cara de bumbum 😂,gAAAAABj7UmK9ILOOpiDAhUV_GXEqnn9AYimTgbu4_OE5QYO3zYbgL__uQX_MdIxXa0HCICUuHtFbQfYskqQmdUW_kdmXYYQwQzE-w2lJMFxBtsJc2HcOHzyTBLdKlgfu_JCFkkRkBDGNWZCCx6lkh2RExp3qEWMnQ==,1,25562342,0.74297243,0.44286391563843197,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKtHFTCAkTw078Db4xVu01h2UvlU1pnbgEdxyQ22uLv04BljbY6EmcS2NaWcxk5YQYwMdiRHZ7N9tdUfVnVraDEgjgWxr9t5j05LI1d-Ikpro=,2022-08-16 23:22:50-03:00,@pauloteixeira13 cara de bosta  !!!,gAAAAABj7UmKdDmEeJN1tRG_yON6u_JngNZRD1c28VAK8jdHpDUpV4it8vHCCxMj1Y3ttN0DuyQJwqvSwUBcwJUaAD4TnicusJe4GCzRhVB5ijCNYk0ysK8rAV8ScGxD-HRVVhEvXbx1CSS8JpF1VNq5uLLAuhei9Q==,1,25562342,0.84904915,0.360813931553257,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKZyyZIaRnz-mNjrcl_tv2aXViY78m1kBPXAXul7YqhpyPpb7e15KrrCoaxHLno_skG8DCCmdEhVhUDtDV4nt5VXmKwlsE_jCzw3-o6c7fKlM=,2022-08-16 22:14:34-03:00,@pauloteixeira13 De menino buchudo,gAAAAABj7UmKFMcO2B2WjpB24KLUd8QUD8xXJ30YUbUTeEVNQzXJmv627OYWyodkdLJe0dREu8TWCfl1AZa7lxcv1BcVP2XMVebwJNpGePN8k9hSZaL2kwbZzR_27Uo-tDlA_EmdbZ2Cju1Pg13rixAic-J_6EV4KurCWYUF330lWCa2JImxJkA=,1,25562342,0.79144794,0.45982255572532715,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKroBrqPE5cdCritnaVOexd5TINLOibJXBBCVDI8AVS-aKjOOFp-GULQn3yRZfj2GC1JQ7DL77qrSaSjJYysW44FDj8HXQPhuMsxxXzQF1pEw=,2022-08-16 23:07:53-03:00,@rosangelamorosp @SF_Moro @VemPraRua_br sai que é cilada Bino!!,gAAAAABj7UmKEscVZ-swFWS3F0akKCPSwRSfwA1KEoMgi3WUBkBvfM4P9e15P8i5iynK_lCKPQ7ZlZfPotkplZJ1N0THjlIGwAA5NQ6ZTcqWakuBteg4ovc1lR-Xxcea6MSAJpKKB0lARY32wc51Zl7otcVjKUAWHA==,1,3096479489,0.41405022,0.9990223495749191,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
