id,text,tweet_url,n_prob_bin,"É violento?
(1=sim, 0=não)","O candidato é o objeto do comentário?
(1=sim, 0=não)","Comentário é racista/machista/LGBTfóbico?
(1=sim, 0=não)",filename
gAAAAABj7UmKU1Dg4uWCMyT4h2P91j3qCsQYloNe9ovY8m4hFkPEwbRZAZIaFy3Ld7vxme0eosW_9CX7jmf063JZ0f9mx0AsJh5zkOpgGEcWsgwn7Q46yww=,@joaobettega_ VAMO DE BETTEGA 30123,gAAAAABj7UmKAVOynZrKYNvc-ygWkj9nMGPdUwXNxkYzCUTrWTpAn4FmPn0RQb9HPDoDygrQ9YKRKo58Y43sBHU9wWZ0lmd-Mf4VYghRvvGkAnfgoMxe4FIDGCP48GVPPe4Z3NxGltBaw8kWlo8DOeOQLSKte54BeA==,48802,,,,../dados/processados/amostra_tweets_para_anotacao_controle.csv
gAAAAABj7UmKd56MdikzLIctAVqYUUn77y84wwHJ84AcZ9Bn0H4MTmiN3haG-PEHL7cBGPE8dBau-7pELwFv1xQjgdYf9bC1NIm719iB2WcX73sIoiSo4Dk=,@AbrahamWeint Vira casaca traíra,gAAAAABj7UmKie7CRyJGC07sXjooCCdNY9OP48BYTq_wT6vy1R1AkR0wYuptN2apk03UC8HNPSnU1XyUCzn8hiWwb_pVGVyZMm5ZTn0OX50UTqRoUSKAjhaMyxbevb05baVQLQWDw_GNJldl1cU8JSa72z_QaiqtduqdWKMqjrhKIsp2mNP7Zk4=,2629,,,,../dados/processados/amostra_tweets_para_anotacao_controle.csv
gAAAAABj7UmKSVJNSY42UeDS9F5dOJEVLjE52loT0ZWcwh9p0JjfzbO4K4FCvYaiXXKnRQNgQI94dYJFOrcIdCcgRZJunxfRFkY5NFvL_b4mZy8xeCAYv44=,"@carteiroreaca Fala vagabundo, usando muito o fundão pra ir na cornociata? Verme apátrida!!!!",gAAAAABj7UmKJNUm4CtpCgmyjI6rnMqtn-QuxoXii2_rChtxie-YUjT-Be4HDUzd4acUITGxoZq2p4EkYLcmnNQMf8wuz578--AoZY8RWHrgCbbSRvVWp1JbOotgUmeTGSwvQ3f8lZNb1w5-bxbdLfUDnxQjhiF_vusLFRBS6-GR7uRfXcyOO1s=,1579,,,,../dados/processados/amostra_tweets_para_anotacao_controle.csv
gAAAAABj7UmKTaBc-g4F2ErpIMeVhCfETN--B043E35GHmBiilb8Mxmzfn0Q5aBX80Fs8w6JK06kXJ8qWEsS7J-z8r4PMYiFCdW1o8w1LxRRZDf5Gvm7UT0=,"@simaopedro_SP Tá lá, fazendo escada pro bozolóide forasteiro. O Novo é isso, bate pau do bozonarismo.",gAAAAABj7UmKaXd6kNGfKlYsFYtcgPLoogpbsoQvWJB-cmE3v6rLnhNtw8pFGHjaw3MBYiLJwXgO4Vpg2XYOvisJ3bq2O5LdBM-aFwTsPUnqbFq4gvMa6vLZ-zIPNmJKu4xCLH1n_NltphCIbfGf52ZfrVz1Geo90g==,2629,,,,../dados/processados/amostra_tweets_para_anotacao_controle.csv
gAAAAABj7UmKJVY4DCosvGCgN4ekvuG1hKVpk9itnFbMfDr5m9knQHo8wwph7Xj03N3D-S3x0ItOtw63IREZmKphjllk0jwPxYCvoAJNuB7QPU9A8fUZvLA=,"@Glauber_Braga 1️⃣3️⃣
5️⃣0️⃣
5️⃣0️⃣0️⃣
1️⃣3️⃣3️⃣4️⃣
5️⃣0️⃣0️⃣5️⃣0️⃣",gAAAAABj7UmKSq3usldQXAEIEQAfD16A_BC963V8bAq8ALRsjhrtqevi_MWEPHgXqKV0JoJ6BF5gzJoqBpPd7tEgzlJlFhyBnS1Gl8TXw1ebJh3flVH9YrOYbfklbHDh3eJ6NDXExG2k9bzo2FrZGhKyyvXO89P7eQ==,372395,,,,../dados/processados/amostra_tweets_para_anotacao_controle.csv
gAAAAABj7UmKhICkzsfe4yOMSJk-GmM0t7fGEebTwUv5N15MJb5gK5b3BhSFO5D8zqqKleFmV6GDd2ygJ3VKQk-ssCvCmtrMFOYgZHza36DJKN6Je38XkJ8=,@BoniCoverRei JÁ COLOCOU NA ENTRADA E NA SAIDA DA PONTE PENSIL E PONTE DO MAR PEQUENO ?,gAAAAABj7UmK2P6_buwVc3ngnCq8ZonPtXoPoRveGikgYFRc7u39eDOFml-jcqB2RkxMH1-S73J-SBCUg5jZFy6T3EaohFEBJuiw_S-H1Gqc9IwWEME8qbFbAJLV1vFMdoA4ZpSfjPTOT1oJvApU--m1_GVJRqKo3A==,372395,,,,../dados/processados/amostra_tweets_para_anotacao_controle.csv
gAAAAABj7UmKzo6pWnL1peYWy0K1l0yN2ZumKpbuQTDEmMG2OYZlJTKEXqe4gxaFY9qc_7axO17T2X80qh3VIG8cuVLFeJ6-9wL8SRCsBxkzXa4oXVIyM5I=,"@augustodeAB Lulista falando que é no primeiro, igual bolsonarista, tudo farinha do mesmo saco.",gAAAAABj7UmKtIOvK06aZfCMEFltdm9qEI6AMQPwYauretz57K_jNWJ_slzbAnYo-6hvM0yyRhVk-HqFzabJiBizHDwtWv6HFJiiLJ4qPSFqGFrbL8WDHEv7JCyGxpUYbmgDd-og8acl3kJJ0pzLnN6NUddeXhTtxw==,12084,,,,../dados/processados/amostra_tweets_para_anotacao_controle.csv
gAAAAABj7UmKu8CuAQirHax6Gc5gMGAmwRoDyhLC34qHKfNkSoaUZnVir3JWcSxi1lNLUaQwofutHIhYVszAkZw9PjEXJ-ShY7Y-cTudzwmKI3dsuJMTrMc=,@RogerioCorreia_ @JoseAloiseBahia Tirar o Zema,gAAAAABj7UmKGyfkH5SHc-lcu8WHXfLCfS6TQcOfNQBkqvDIO0gzghJMlOoR9xzIz29ZDPXl_pVfC_QH6pYslcenJt3i_uLdZ_SlmgZCKGc3_HTaOP4O-6Wn_sV0yPm0B3XxDxYKT8v8eCbCKj1d0-HhimyrDW7RGLa5qx65LnMSjwgMZ7ZMiPE=,48802,,,,../dados/processados/amostra_tweets_para_anotacao_controle.csv
gAAAAABj7UmKX6EqB50GUUFuSG1mj4KD-XW9XlLpviITK8l3e2QKO6GrcJLrI2hxpcRY_UajxG2XL8PBIeJgd0RVLgroG-IghYF9w7gXqwTgihV_XoJogkY=,@depchinaglia Vai cagar. Fome com 600 paus por mês. Deixe de ser babaca.,gAAAAABj7UmKVmvXDEK1WPEiz_VjtXGf3SP6-zwcNFYjDSuAuCvbazJp1WrVOxEEuKzW8bjVgM537xyLcuJ-PG13OpLJEoqbskHPxeRejBonxyoGdSEzv8T1a7dRQdypAQGCkQTKP1CAEsHRsuppK7olO3jsP9JdSA==,1579,,,,../dados/processados/amostra_tweets_para_anotacao_controle.csv
gAAAAABj7UmKcKk5VrxKO9NC0sj9TzVlbe-xwmhDKtRyVRfGfEn94FLTl_pjhWL8-iuifg5V305ZC-sURnzw_RJanQ7wAmHKqkv3qCY2fwcG-6_vAd0NCH4=,@DFDanielFreitas Nenhum :),gAAAAABj7UmKbBnW2pR-BL7yJ3m-NZl_69-p4XpAtFRJ9Skv11KyZVqFStclNCm3oJK2F5MnErwsXU8Y896uFk72p_OrGcEIGocnwOLbrvQzfd0fxqyFX5ycg51yn7v2K6fugUOz9Qm6UCDKThxAHJSdWnGTibgnrtSCHTOka0A_It2AwTO7OOs=,372395,,,,../dados/processados/amostra_tweets_para_anotacao_controle.csv
