id,text,tweet_url,n_prob_bin,"É violento?
(1=sim, 0=não)","O candidato é o objeto do comentário?
(1=sim, 0=não)","Comentário é racista/machista/LGBTfóbico?
(1=sim, 0=não)",filename
gAAAAABj7UmKgM1rMqsS7A68g8wVKb48VGizoRcEb1IctAirf4AGBzi-Wo1UVQO1T4TiJV4Vhp6fR9GQ7JswCFcBKgtw3UKH9Ftu2LDeUqBUqfkFxTgEXQE=,@MacaeEvaristo Nossa Batoré tinha razão kkkkkkk o bicha feia Meu Deus,gAAAAABj7UmKjVDlOq7E4DoZOS1Cz3-RX4LLvv5NSIgq2bt6QIUrfqK9tPkfbubKF-OES8UQPuoCnWQShCxhNoh2G0b3nc6wD52miRc6ILilXwC-ioJVH-_02vJ6nvOz5aES4Mn7H2L0_a9gDME-Ca0kj031nf7EKo3ZDXyn-fsex8MztbJScL0=,772,,,,../dados/processados/amostra_tweets_para_anotacao_mulheres.csv
gAAAAABj7UmKOu1OMveb0qQJ4sPqoHgFdBce3TfI9O97zLeHmfdCToFiyrfAfw6kIcNX5afoctsl2hpW_j5kWuVW-R-WXh3f0KTy9orB-Pa5x1JxKGac-AI=,@majorfabianadep @jairbolsonaro Vagabundo cachaceiro... ladrão e canalha !!! Vai pros Quintos seu diabo 😈🤮🤮🤮🤮🤮🤮,gAAAAABj7UmK5ME8XzkJ23egBjQeCP0kwVCjzQC8h5fWhXQYUF3UUbIBU5McHX7HHj95eOrvHqCNBOH-mXMLB5OG8HDcBAr_eKZWyWKs0Jhox5xbJDr8zDXce9zWAUApBNU6ztl3Hvrz4hZoXpWgpZIoB-NF9vB8k4zlA2i9tqf5Ec2PtsBxH-E=,772,,,,../dados/processados/amostra_tweets_para_anotacao_mulheres.csv
gAAAAABj7UmKrg22z21LLPMZTqU5qYMz4a0_mdOsPmdROzuUwNW-A_HUTm5mjyAgg8jF5b83u34WeMy-glr5rjt7vIkqkeOPg0Qre4mdV23UING-eIu-RqQ=,@VaiPaolla Fascista teu cool,gAAAAABj7UmKzTEZM2dFbFiva1pseshtVacD5sn8vq5AbkLhqcG6_lTeBfci5Z4RvyCklrEdu3WOkW2Nca1_G0Ct2fbr2eGH52yRL6NCz6Ot20pgzoEbxL4bh4-bt62mHWhTD5TaeSuP0ZzYMuUTRz6qXdgBt1YGYxeF8OgccWm5w6XZT-mj3UM=,2693,,,,../dados/processados/amostra_tweets_para_anotacao_mulheres.csv
gAAAAABj7UmKpYZPBsu9i04z7EkEG3fmUZqwY-0HNp2Hrf0_rzLD6-KTnucZoHQcTMBseKAjuJrpQQJXyhUgSYN2ksoE9Gd84j9lHbxKY6bCBl3Wqh61Cgc=,@gleisi O CHORO É LIVRE E O POVO BRASILEIRO TAMBÉM..OS APOSENTADOS QUE O DIGAM🇧🇷💪🇧🇷,gAAAAABj7UmK1XLU-2Dk4B2k_y8eYYd0UpXv53X6FX2jA_c45Rdc3NlqIkSELIgL5pdb2P_zCw-aT1-g5AiG0xcpxCneULQmtw933IGLbcPVdc1cbZ9CjGPHY3P0FWjm8-UT3q9iRIu4w5fq2SJlcBDi6EZ2MTCm-GRMmwz3B7Pk-xvuLs41hl8=,180052,,,,../dados/processados/amostra_tweets_para_anotacao_mulheres.csv
gAAAAABj7UmKh9U0rwhCcpH-d9_cGcr6vSGQK0P9hPMuDQr4l2wQ0On_bSjJQpzDcFldkmnKVq4DKHB7KFF9jWdlFC3mVU3b_h1PFyCCjrPkDQ0p0kZR06o=,"@CarinaBelome Campanha tá magra, mas vc tá  gordinha.",gAAAAABj7UmKIs3tmolmIV8la8U-RdF6rOC9CgGxQs60oR2jz93G2rqdooz6COD3IiiJquDs5qGhSvPU78YGC-HPaXisIbrGoXQFHLkEnIyTB0Uu7gN41rYvD6JWkaO60mr33FpZ9ddFuV2XhepaVnsJcUjLG20q8g==,10176,,,,../dados/processados/amostra_tweets_para_anotacao_mulheres.csv
gAAAAABj7UmKrMpty-2xi5__entAg79j7VLctEnhwxHUmcxoF3Qas2yRuCuSrvy41HuzdQQ-oX036_wBhWj6pw3dYeux59zdjLjcBteDFtmiibUXsWyC1JI=,@mariamarighella @d_assiis @lorenabaterista @pizzariapremier @gleidedavis Tô contigo! 🤝🏼,gAAAAABj7UmKfnTe758966NaMsIkeuwOK0VGuSnUpOhmD1rIT4wsIUCtFar2i3g0nnuBc9MjsC-al4koxwI2H8KZkxZP-vJmyjbyGWDkTJz_02ll_Cu7khewIU1q_W8cHZKriyY0d3A6lo8AZtupSEO2MkgKnXrBJq6WbhCcKB1IQqUhztS8u10=,180052,,,,../dados/processados/amostra_tweets_para_anotacao_mulheres.csv
gAAAAABj7UmKi1N1N9GxaEwTncglqr5StN_QdJd1SzF0airtW7wKC7lZTDxELG0ekC2GDnH0vZXxldPiinYfEjrGE9Bv9hcms_yyxq7kImbIwfU2xefeHUk=,@joicehasselmann Sai pra lá sua oportunista traíra e despeitada!,gAAAAABj7UmKEOxwxs9Q2i7Eqq2-7E3FRAN6lLG_SmH7pPb7TwxgML0tw1fGHUJYhX8o59uxUsWTnHnjVNRniO5H8vRvbanDvbUI4uhbqRi6HmKsuRloF2BJnK2PCWEw5eNFfkWVeshvNROppfUsXUdZ5aF9fTPgEQ==,772,,,,../dados/processados/amostra_tweets_para_anotacao_mulheres.csv
gAAAAABj7UmKdp2mnBpRR2lBNVHUYKQX7KrtqECBe2Vxn5ruVf04_1tJkRkG-62MXGoiA1pRo-zka3yEQn6VokZ-Li_6xDqIAmJMkn1wgL5UqI68QkWVwyA=,@jessicamichels @CentralEleicoes Vai se ferrar idiota,gAAAAABj7UmKyoYbW0Fv2YqH0VvOrkxTcDzKMsc5bfjCi_UiYoWs8kfvdSNDv7Wc-XsH3xvVjfB2RIxBfjLS8rD_CTSbNd9XQzOpiIF94W5rbWr-50UsneAF9Y5aMvhuQLgvbEbW_1b4CDCR34s9wgxgRzARn7TcVA==,1158,,,,../dados/processados/amostra_tweets_para_anotacao_mulheres.csv
gAAAAABj7UmKmRIUZzVpKrEtwpJRCiQV25vgWsawdJiLqnCrlzIL-wIls9q1Qk49e0ZUUG_pH8nh5J8MZtov7wg2c524re0uPXqAQz_O7yDCHhzK63YNYqk=,"@tabataamaralsp garota, vc apoia um ex presidiário condenado por corrupção , vc não tem moral pra falar de ninguém sua piralha. Fora Bolsopetismo",gAAAAABj7UmKDGsMeWCT04rGOfMquON0jOBLCReiXrAnx_bEbRu_Y6bVrod2N5rg4BnN5hyEFdC5oG0JOUgAI2jekpZJpHAMuQl5b9Gu-IckAZmOqavfRvjbesEVnGhcZkvsbaSC0O8AzG_nwEYeSGeNB3s1T7pANf6_6rtUYiheVlndtQWgSXU=,2693,,,,../dados/processados/amostra_tweets_para_anotacao_mulheres.csv
gAAAAABj7UmKOqU_wc8KiJqeVq5q9Nf79_OeB1Z-yCcF94WcXa-D9cqR5OteYYEbNcpDz_yaorpMSIxkz1A86UX2GP2FnNnCyUA59eKF2ftPvkuNhqSOzGM=,@CarinaBelome Esse povo é safado até o ultimo,gAAAAABj7UmKWISCeEQPVEg8YMhFfNDadgOUQkwq7p4qFGGiOmbZqFjQo93LMb3Nw176ePbrv4Xd6VMYKGsVxvVRgIwHpBIugFQD0PlyhSNatRvVbo7xTEJ3Mt5xLu5kQ5gDbwyNtUZ0TkQQadqAZ7f38cQrKkafEw==,772,,,,../dados/processados/amostra_tweets_para_anotacao_mulheres.csv
