"DS_CARGO","NM_URNA_CANDIDATO","EXTRA","SG_PARTIDO","SG_UF","PLATAFORMA"
"DEPUTADO ESTADUAL","JÚNIOR HAGE","instagram OR facebook OR twitter","PP","PA","Instagram"
"DEPUTADO FEDERAL","ELIEL TREZEDECK","instagram OR facebook OR twitter","DC","RJ","Nenhuma"
"VICE-PRESIDENTE","FÁTIMA PÉROLA NEGGRA","instagram OR facebook OR twitter","PROS","BR","Nenhuma"
"DEPUTADO ESTADUAL","MARCO RODRIGUES","instagram OR facebook OR twitter","PMB","RJ","Facebook"
"DEPUTADO FEDERAL","ANNA VAN","instagram OR facebook OR twitter","PROS","SE","Nenhuma"
"DEPUTADO FEDERAL","IRMÃO AMORIM","instagram OR facebook OR twitter","MDB","RJ","Nenhuma"
"DEPUTADO ESTADUAL","FÁTIMA MACIEL","instagram OR facebook OR twitter","PSD","AC","Nenhuma"
"DEPUTADO FEDERAL","HERMEI","instagram OR facebook OR twitter","PMN","AC","Nenhuma"
"DEPUTADO ESTADUAL","JANE OLIVEIRA","instagram OR facebook OR twitter","MDB","BA","Nenhuma"
"DEPUTADO FEDERAL","MARCOS LEMOS","instagram OR facebook OR twitter","REDE","BA","Nenhuma"
"DEPUTADO ESTADUAL","ANDREA ROSENO","instagram OR facebook OR twitter","PDT","RJ","Nenhuma"
"DEPUTADO FEDERAL","JAQUE PETROVIK","instagram OR facebook OR twitter","UNIÃO","SP","Instagram"
"DEPUTADO FEDERAL","BRITO DA SAUDE","instagram OR facebook OR twitter","AGIR","PI","Nenhuma"
"DEPUTADO ESTADUAL","PR VÂNIA AGUIAR","instagram OR facebook OR twitter","PTB","RJ","Nenhuma"
"DEPUTADO ESTADUAL","JEFERSON PARANHOS","instagram OR facebook OR twitter","REPUBLICANOS","BA","Instagram"
"DEPUTADO ESTADUAL","CIDINHO ANDRADE","instagram OR facebook OR twitter","PDT","PE","Instagram"
"DEPUTADO ESTADUAL","WALLACE NEGÃO DO FUNK","instagram OR facebook OR twitter","PP","RJ","Nenhuma"
"DEPUTADO ESTADUAL","QUÉSIA CARVALHO","instagram OR facebook OR twitter","PATRIOTA","TO","Nenhuma"
"DEPUTADO ESTADUAL","RAUL MARTINS","instagram OR facebook OR twitter","PODE","RS","Nenhuma"
"DEPUTADO FEDERAL","SILVIA ALVES","instagram OR facebook OR twitter","PROS","PA","Nenhuma"
"DEPUTADO ESTADUAL","YVAN BELTRÃO","instagram OR facebook OR twitter","MDB","AL","Instagram"
"DEPUTADO ESTADUAL","IRMÃ TASSIA","instagram OR facebook OR twitter","DC","MA","Nenhuma"
"DEPUTADO ESTADUAL","EDINALDA DOS CUIDADORES","instagram OR facebook OR twitter","REDE","PE","Nenhuma"
"DEPUTADO FEDERAL","ESTELITA","instagram OR facebook OR twitter","PROS","SC","Nenhuma"
"DEPUTADO FEDERAL","TENENTE LEONARDO","instagram OR facebook OR twitter","PTB","MG","Nenhuma"
"DEPUTADO ESTADUAL","KBÇA DAVID","instagram OR facebook OR twitter","PROS","RJ","Facebook"
"DEPUTADO ESTADUAL","VOLTOLINI TAXISTA","instagram OR facebook OR twitter","PSD","SC","Nenhuma"
"DEPUTADO FEDERAL","DR ADILSON MEDEIROS ","instagram OR facebook OR twitter","PSC","SP","Nenhuma"
"DEPUTADO ESTADUAL","RAFAEL MONTENEGRO","instagram OR facebook OR twitter","PRTB","PE","Nenhuma"
"DEPUTADO ESTADUAL","ALEX BARBOSA","instagram OR facebook OR twitter","PTB","RR","Nenhuma"
"DEPUTADO ESTADUAL","TUSTÃO GUARDIÃO DOS ANIMAIS ","instagram OR facebook OR twitter","PDT","SP","Nenhuma"
"DEPUTADO FEDERAL","ELIANE DA SAÚDE","instagram OR facebook OR twitter","PP","RJ","Nenhuma"
"DEPUTADO FEDERAL","TOTONHO","instagram OR facebook OR twitter","PSDB","CE","Facebook"
"1º SUPLENTE","SEBATIAO FERNANDES ","instagram OR facebook OR twitter","DC","RN","Nenhuma"
"DEPUTADO ESTADUAL","ELIANDRO ARAÚJO","instagram OR facebook OR twitter","MDB","AM","Website"
"DEPUTADO ESTADUAL","DENER PACHECO","instagram OR facebook OR twitter","UNIÃO","MG","Nenhuma"
"DEPUTADO FEDERAL","KINHO BRITO","instagram OR facebook OR twitter","UNIÃO","SP","Facebook"
