id,created_at,text,tweet_url,direct_reply,batch_user,hate_score,target_prob,violento_A01,cand_objeto_A01,racista_A01,machista_A01,lgbtfobico_A01,violento_A02,cand_objeto_A02,racista_A02,machista_A02,lgbtfobico_A02,violento_A03,cand_objeto_A03,racista_A03,machista_A03,lgbtfobico_A03,violento_A13,cand_objeto_A13,racista_A13,machista_A13,lgbtfobico_A13,violento_A04,cand_objeto_A04,racista_A04,machista_A04,lgbtfobico_A04,violento_A05,cand_objeto_A05,racista_A05,machista_A05,lgbtfobico_A05,violento_A06,cand_objeto_A06,racista_A06,machista_A06,lgbtfobico_A06,violento_A07,cand_objeto_A07,racista_A07,machista_A07,lgbtfobico_A07,violento_A08,cand_objeto_A08,racista_A08,machista_A08,lgbtfobico_A08,violento_A09,cand_objeto_A09,racista_A09,machista_A09,lgbtfobico_A09,violento_A10,cand_objeto_A10,racista_A10,machista_A10,lgbtfobico_A10,violento_A11,cand_objeto_A11,racista_A11,machista_A11,lgbtfobico_A11,violento_A12,cand_objeto_A12,racista_A12,machista_A12,lgbtfobico_A12,violento_final,n_violento,cand_objeto_final,n_cand_objeto,racista_final,n_racista,machista_final,n_machista,lgbtfobico_final,n_lgbtfobico,controle,lgbts,mulheres,pessoas_negras,n_grupos,filename
gAAAAABj7o7TzGpHp3Kr9znTTutlA6yCsgp2QGocXVXIjEnWKfzO7VS02ObumP04WpDyTb5RYE0T8PrZvaCONifBpyhxEq9gfCFpR6uOatjLVieHUxoJNjQ=,2022-08-16 18:16:30-03:00,@luceliaoficial @LulaOficial Ah sai daí sua louca. Ou volta a fazer novela enquanto dá tempo ou vai morar em cuba servindo ao LADRÃO de nine dedos,gAAAAABj7o7TTCRWutuBwSx_UpzZ6UfQdDyPG_plazyqkfOyzdxyCN83xT9OiShCzkJFd60bXySvHsZ8eF9iIzrMOFZKj41g3FtHeelzCO2hZvwQ0SrqPBw6dcbASKBOR8sLScDWfIWOhxG8MwThbDdHvVT4SotLDA==,1,301834723,0.7478902,0.999999998820698,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3,1.0,3,0.0,3,1.0,3,0.0,3,0,0,1,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TxsTP51kdyRJ-PFcH8M2fXJCx9SOM6eF11dJE9qkuW32MoZjrKCl2B5Y8ZenaHgavNPQWD9288eQ5ADrMj1Det4Cwhac2XCxxQ58Rz7WnZO8=,2022-08-16 17:23:20-03:00,"@VaiPaolla @LulaOficial 🤣🤣🤣🤣, como essa turma do PT é tão bobinha e burrinha",gAAAAABj7o7TAWcd1wFGOyizU0UUVvB6J_16InD8WFm587oYjT3w-t-dXEGpAgXokZMG08983UElRS0ZuLJR8jKxGWaDQN1a7IgT1F62lyCn8v59QqDOyHexYFBhBf3lCKtsxmNNciivkH6-10rzgL_uUZnbbjpb3g==,1,51335024,0.28259122,0.6572937782421191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,3,1.0,3,0.0,3,0.0,3,0.0,3,0,1,0,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TzIpZ7UXVnWzvNczuqcnnvXZcFalgTq4EGViZG_5reEtj014I9wmr39rkK_kzP-WIpfrBUY1gSFqjptIXs7RrfkEvqxnkvwRfXdbqJfpDckg=,2022-08-16 17:19:35-03:00,"@VaiPaolla @GuilhermeBoulos Agora estou mais que convencido, o cara é corinthiano 🏁🏴🏳️🖤🤍Tmj @GuilhermeBoulos",gAAAAABj7o7T-4z_BHVFb4vf-CTw3vhbhr6mdjjBQK2gZx8vk2dM9NmhN7GbMQyzFB_-9skeZsqnap4EDaABu5Bggny1vv1DGYUG6cCXuwi3yyUtqbj5jWhnkN72Rhb0wagPALusJlu25wGi2kqz-ss4TfeWNb8LhthYPpWnOCQ6HDEoMedeZdc=,1,51335024,0.008751959,0.9981103133996804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0,1,0,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TNZZ068o1GnvXeoFiz_Owk0p_zL6Ek5vPHa16ifTOa7DtuKCrzjJachi6AJBKykq8XoFYnsuPuqDBxTUhkPZZb9Q-Hq9gUcQ7ZjgSO1q6Kw4=,2022-08-16 20:47:24-03:00,@CesarAMelllo @rmotta2 Playboy babaca,gAAAAABj7o7TrDc8-2Ipg__Jvkw6v1692MrkRCabxyTcuSVQ1gGSkohk2ColLK3hSPb_hN_LUqePFoCQ6NFYWViohL6KG3Foj9RoOxth_1doiSeQSJKgS84XjIJYyjTe61Ib0-w5XVGDTCrayWt9NWm44j8mFCu0bA==,1,1110177096373100545,0.96823347,0.6586983512645748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1,0,0,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7Ts5tT7oKH88sNkPmKViZXmZaKoQwww5qGegcxaC2fCMzviN1NUrGbv8HVGLsL9TgxPFVdBPCIQGWKer9OGjWD-lNCm3r_jHJWi11k6HTeU_4=,2022-08-16 20:39:29-03:00,@marceloramosam Ninguém quer conversa com essa carniça,gAAAAABj7o7TDLWyPPIYVHzvw1sKqbLfP0BeMzFujYwQB9IR_ApGfzSBi_TfWtT98v9aEVVQl4qpKoJw51fFR_sCJmERvLTcsgtw9zaLiaYP7l4ER1Ytj7q_3TsBASP6rEBB0xNAcgu5hbnJu77_rfL1r1ylTtr8Ew==,1,42228966,0.69660443,0.1254996471176256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,0,0,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TO2I9i_xARwUZzHUYPWzmY6W04wqTuU9U3fMgfu5QQJTMOcbrmBrAwf12jEVs1ctAPsEzt_-uFZi6PTnE-GSYTX4qWojaIZ5oN3U2Rrn5rzg=,2022-08-16 19:59:05-03:00,@CoronelTadeu Pau nesses vagabundo,gAAAAABj7o7TN0bhbzRASaunC-JzKH53hX2dcBe1WIg7GheO8lntcCQ9IqB_2uzp4kYxWA851ngWRFYOoQJfQ236ZJUx6mRVrvbxjKkGHKBNgV3A2YoOJqNj07yVxDv5Vc8AvJj_HTpK-vmwXScciBbj4jssP6iFwLqReDtMXDasuRZCRALwMh0=,1,907301328988332033,0.9641151,0.0374040653870012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,0,0,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TTn8cAP4PsKF87pGdxz06aUEVuSwVjN1Y5QtZ087hNgXBjrGorWsHlIoCBk2pCELIHuh90tTWFMDGXckyTSn6mT2gj6M1wJzKB81TAOpgYHQ=,2022-08-17 00:43:32-03:00,@pauloteixeira13 Cara de bumbum 😂,gAAAAABj7o7TYQTpMjmte7Upj0tMWmYsyboCKlUes05wdcI6iBBBxJ7p2u_8Uc82EV9wI6KhhPAnG6i4tKYLt8hZDU3Ak2bFrK77xetFLbeCsPZ7BRKFP5ur0BuyIrxwcBjfP7Ww-6hAfF8fS4G_TfyZy4bCf6G8_Q==,1,25562342,0.74297243,0.4428639156384319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,0,0,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TgOXKsh4CAd3ECFvCmFpF9dr1HDDNqLo2FwWqxP5IhUUBm9M7_Urr6YgsAa3obFaxZVqTGrJqyOByombpXMlLW9jjNsfs7IAb4QZl80fTo8U=,2022-08-16 23:22:50-03:00,@pauloteixeira13 cara de bosta  !!!,gAAAAABj7o7TKeL8hDcuRl2ZBFSOJUQESMGZlzYD1Zsd3BkovdwgotSU-HMPxrywkSw4jDRzu3rMj2Ks14nsRfFcP9WDmJJSvaOV1sQiAzwcVerk-rlu2TCQpOzC0hIzaFymx7WAhJHxVfn_tvZO28mfDzPiB_HVOA==,1,25562342,0.84904915,0.360813931553257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,0,0,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TsiDBMMy3RAOa9_M9TPkVKuzQoMW_8G81amm3jF-fAQJwYdalkQI3yX3OWZc_pRknNvCDoMsy6RC7WtJHkc6R7kR6XeyCAx65zY8heNQWhiU=,2022-08-16 22:14:34-03:00,@pauloteixeira13 De menino buchudo,gAAAAABj7o7TMVF8jRw11GfBFaovlVblPJHSV_jWSnax_HMOSWVF3IpIHr_Aup6PClaJ2tm7KxqeeUlme_4sn8v7Y-7ngWrjZHQWe23j3RhsrFiMxBNxKUvFg5elQyeIj80PJkrXX1cE4_1gkO1GiMTcZXBy1cOClZUrhXnjW5m108Fi3XPttP0=,1,25562342,0.79144794,0.4598225557253271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,0,0,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TRgjGXc6hOGHn38mslbU-PhtLd-aCYAtWoQcCOJ8hKbJihg6EBmGCms-yEZ0YJD4BOG_ZUJKmyRP8-p8Kt5L-vJ1HFKQSP2BiyNvN00FYVUo=,2022-08-16 23:07:53-03:00,@rosangelamorosp @SF_Moro @VemPraRua_br sai que é cilada Bino!!,gAAAAABj7o7TD3Zi2LGZoe20l8agZHzSaMaWVHaoJu3RjnoDAhwiQlP78BodZ7B-OQ0xjKg5AXMKrqEpxQ4Wv-prYmvlIzPMpaMIGBVyuU7iP6OZgNrtY9n2AbRLqRnavzvLoLtkVNT1H3Ia48z0qa7AaDBxDlL-lw==,1,3096479489,0.41405022,0.9990223495749192,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3,1.0,3,0.0,3,0.0,3,0.0,3,0,0,1,0,1,../dados/processados/eletweet22_tweets-anotados.csv
