entities,id,text,in_reply_to_user_id,author_id,created_at,author_name,author_username,tweet_url,n_mentions,direct_reply,batch_user,batch_start,batch_end,batch_tweets,batch_errors,target_t_win,actual_t_win,t_win_weight,batch_time,hate_score,not_the_target,filename
"{'mentions': [{'start': 0, 'end': 12, 'username': 'ArthurWeint', 'id': '1074209186752413696'}]}",gAAAAABj7UmLT2-5C7ZF7sGvcMc14vN2wFBrhXjGLwFzEV9-BVOVvQjM44bFsWzGKzxN9BKVpSnAoiTKUTsEkBfJWffOZJl7SMR3cPfw04_KiKaQGyDVlMI=,@ArthurWeint Vc né seu safado,1.07E+18,gAAAAABj7UmKVW1qy49Jv0MyDCvvbrmVK5mqspUd82BarAhg67stFkijpTuS6KJTnM9AvDa75lhoiSFbCOFZdFTGxqnJdl9LLGpgi9WHcAY99oz2zYX1evc=,2022-08-18 19:06:16+00:00,gAAAAABj7UmLEo_2FaLSzj0pPkZ-mW2r9N-AvEkSTSJKw6PhRXeqG-4Lf12cp3xuKTogrnVLvbO_-cebe1uKrlrImyDE2iHcuw==,gAAAAABj7UmLh9GndbWcYdNbISDqRCLFlIzceB8aJb-4KiG9R0uGbnxMnW3KFA2mUPgwdsf1yyhWpef63xPi4iH4v4E3w5dqtA==,gAAAAABj7UmLHNcJTMidvEERTWcxr6P3cShI2TXcGuBYt_0m7AEgzL5cdauoTunF9yucolDCfnOiHkQGpvFupkwB0Kd2FXb-mAlrIB0m_BcEAYJbH4I7Y7ei4pxoGVQx8pSAJl8mqoturWacE1dZ42d7lhvYqEJBW6GoGX26Epi1YWCydxLm-tE=,1,1,1074209186752413696,2022-08-18 15:31:07,2022-08-18 18:31:07,297,0,3,2.966388889,1,2022-08-18 18:30:00,0.96204644,0,../dados/processados/tweets_classificados_por_objeto_2_anotados.csv
"{'mentions': [{'start': 0, 'end': 15, 'username': 'H1SaiaDaMatrix', 'id': '2865326772'}]}",gAAAAABj7UmLvs1DK_8HRnaxfOa0l-BnjJ-C4_8Wk1zd8_AQ_nQuoOjhGk9MupoqQICWHNf23uDkE68jp4FRLsAImcIS9T60REtsdfJnhi78qCkZsgi8dg4=,@H1SaiaDaMatrix Kkkkkkkkkkkk ficou pica po,2865326772,gAAAAABj7UmKaZUZjm_x8dYOFn2HvY4vXm9OVwARaTm2qgM_Voh4pUcd7U7g5EVd2tPkPz_pv6abuB_JiePnEjk6d0AkN6b7fcCQ4s-G-Q5vu9I2yh6Yx0M=,2022-08-16 21:54:28+00:00,gAAAAABj7UmL9vcLayAJcP_Ao5OS3OrWYQiZTbLjSyWubrNa0p7CjcJWIt1Je2QoEXiLFBiI-FnMh1RLwS6wyeI9NIQXEX4Beg==,gAAAAABj7UmLqiUAQdqNpN7Nqp3AdVh2rRNd4Ru1Vcv9RwznsMYNlA769YUj4czQ_OQ_zAtfMNLJVPvO9uiKOtHTAPfSG_B_IA==,gAAAAABj7UmLt4Jan2SeIe4vYskdkSYRBQV65qT-H_41HVYzSOxwtIvwHi_IXDWd11u3g4tG2bEcrvsYRwSjXjgyaoBwmK6HbXexP9NxqSuYunO_1EwPDXoe8GfrQ3rcCfa59sk7g1Oib68KxOBXC60SRmUHPPqdTK7qBR3Z3MyRq2O5UbjlQq8=,1,1,2865326772,2022-08-16 16:00:06,2022-08-16 19:00:06,19,0,3,2.503888889,1,2022-08-16 18:30:00,0.9118864,0,../dados/processados/tweets_classificados_por_objeto_2_anotados.csv
"{'mentions': [{'start': 0, 'end': 13, 'username': 'AragaoMosart', 'id': '1135314682812801025'}]}",gAAAAABj7UmLkGgwidxpufMSmmbJ7xcvSQDuxj-RALi-3mFan8TWywFpoaerNWVq0VIz2uj326yfHpwiZ5JCWgezE8IchSZerGB9IYqiKbAzqojo0wqC5hk=,"@AragaoMosart Vem Tchutchuca Vem aqui pro seu Centrão 🤣🤣🤣
Toma vergonha tenente fajuto, para de lamber botas desse velho GENOCIDA",1.14E+18,gAAAAABj7UmKOEeLE3b38ekNvRU7HkUvruN2hEvzK12ctElzKiI_qyV2GLV1Gq5VSkGtX0SEeJw56YmZatv9eAIWl0NDF5-F23NDdFeGcym3qGddJ_E9PG0=,2022-08-20 00:15:59+00:00,gAAAAABj7UmLS9byK-v08Z4Y6_9G39Nt6UMuz7AukUpuyESGRy_AH_5JVK7AF3eTPEzlvY51oPdSWBew6cO0ehrW8wUM4mV7gQ==,gAAAAABj7UmL6f_x6YhCd8ARZ5oSdztqsq8idE5MYnbclGAh1O45PxJZWHZGoGsJOMfKNNCefyhUbOw98Y_A923cNDkpZbPy_w==,gAAAAABj7UmLreYxvn8Aac_mz6Va564JjrQBSTSo74owPaWCdSLOlKBkXi7GittLe5c6RsPJWjPZX_pyoq9Q0A7jNnA9AWEP8xgK1TFR_i2bL6vqeC78Zx-xYDvp215yimjF6YEyCTUW440F1fVIeHcnMk7WzFWJSOeIH-7BVbO9lXZvpYtSEag=,1,1,1135314682812801025,2022-08-19 19:04:37,2022-08-19 22:04:37,86,12,3,2.865277778,1,2022-08-19 21:30:00,0.9598377,0,../dados/processados/tweets_classificados_por_objeto_2_anotados.csv
"{'mentions': [{'start': 0, 'end': 7, 'username': 'gleisi', 'id': '31139434'}]}",gAAAAABj7UmLNTe4AeguVKQx3QAi28JRx7zFw5NTrpgUemBUR4NNWPNBVTzPevMaPgN8qwMRNN5CmSVrixYzX98b9wJ7XTMTr5hR2RykOclNmJNYfiolhBY=,"@gleisi Vc é cansativa, irrelevante. 🥱 https://t.co/4h2hpypt8A",31139434,gAAAAABj7UmKA3a1gd6uVh5ZaZbf8zL4X-aScSd2HphIKI7UeQ-iESyTc8EZowsYpCsT5gwodxkjTfAGAdBO5Ia4JHkUPc62EGQFGrEz5N_IsOfJ3WVZFPY=,2022-08-17 01:44:04+00:00,gAAAAABj7UmLNFnLnCI1BCw7eFttatBEZ_U2GygUFb9OnWANpYHHuKaMJIotIM9eupSbuUE7qo2wHL-q5EvTjmPNTaMWw-9-lQ==,gAAAAABj7UmLJ46kgA_drHm_XHDRiXFn7MM3BU4An67iCZg5kK2vN_0Ia7ceGibE5icLMwewF2Fk9gk-yK_8z3e7nDHlxf4tvw==,gAAAAABj7UmLBjsxfEDiMSwhRjJsTX0OP0sKjQbeYI2yt0elmtNskJW27hk6456c8WYsHabAko8MU6OdhNwHn5jpEEJy3QQwQVUmU1P7qKzYey-Vsia8K2-Aw8rKu3YEs0Q8DdUCVNJ_vZIeeA3qNJdQnidJSZnUTQ==,1,1,31139434,2022-08-16 21:40:05,2022-08-17 00:40:05,849,1,3,2.360277778,1.271036837,2022-08-17 00:30:00,0.031490594,0,../dados/processados/tweets_classificados_por_objeto_2_anotados.csv
"{'mentions': [{'start': 0, 'end': 11, 'username': 'andreporci', 'id': '67183252'}]}",gAAAAABj7UmLghQlAwhYcC4wnF2DbXSQFypu6nr-MMiboQsXr3Aaz7FrUvNNWvoOh9OiTchlNFJ7QJFePCuuyynku9DQSm8xMYfHUpsEh99BxFKesyvq1Mg=,@andreporci Teu cool!,67183252,gAAAAABj7UmKgDSceTmOBXhiUiyqgzW7qK0zcJbjJA0ycA5R0kEgaJvYW9lu31AvM2fS4x5O6gE1DE2cmGCk8gV3MEIUn4sG8A==,2022-08-18 20:46:24+00:00,gAAAAABj7UmLli65vQGx3fulOVwmGv6KHDCVC7y4LXg34dVMfLlyvDl5fhVpjz7JAFPEYFwyji1ivy4fGr9rRO-fr-nDqRDApw==,gAAAAABj7UmLjBpMrf4h5_wbIWtyH0A93aoLYWt0wdkPqTc--Ps7PGU2ifZGbTKAcC2ZP8SHh1SZzrwXCoVRmF2041g9GHA8ig==,gAAAAABj7UmL3ZMofsEYBBMI7DKrsa2giAZyKiPmZnihDf-enDdFvAGw4gKPNMkyu0gd1T867ruFg7kefRtG4yI0p8Cdjgx_uJCGlQYV4_vIJPzOexr9PTi_wx9zdJI3vaqC3dXYOyEB3g15wyLG7HxrHoQXp_AtWw==,1,1,67183252,2022-08-18 15:32:40,2022-08-18 18:32:40,152,0,3,2.970555556,1,2022-08-18 18:30:00,0.08563726,0,../dados/processados/tweets_classificados_por_objeto_2_anotados.csv
"{'mentions': [{'start': 0, 'end': 12, 'username': 'BolsonaroSP', 'id': '74756085'}]}",gAAAAABj7UmLeGbbGmGC-vUGXHv4IEo21SLn0evM7poo6u9pVkfH1Swem0nAVyhCNOhyKUzUuhEHrzprIHakPASmwStSxA-XChkeBRN8qBA-Rix9Dt5LY3U=,"@BolsonaroSP Eu achei que a fome tivesse saltado para 33 milhões de pessoas. O preço dos alimentos disparado e o dólar acima dos R$5, fazendo que vendam para o exterior, deixando caro aqui.",74756085,gAAAAABj7UmK6ivZBadhXPT4QtjFm97AwaT4KQ-7oGxzVAlHF-cTUSVBMSUz_89H9lPrRvm0CnthH0ebYm6tnPJtqp0iIxO0PQ==,2022-08-21 11:44:01+00:00,gAAAAABj7UmL6cKurVPzbhpMlkGotCMEzKogU-MdT9Sp6ORmLIbgXPiFFKDzaC1C52v89NYMr3LXBsnpZiD4KUUaUV0bTq0ZcOD6Ksge21wkQu0_Vvx0tSQ=,gAAAAABj7UmLpuD5JtUhtj222NJUMxHbGnkIoJAU_FtIP8NdD-dD6Z7qribfwI5cdglxsGRUrMKAKBOOCCbZgi2VQeQKMV4Qyw==,gAAAAABj7UmLR7VlBKbPxW-M35kEuiBy3y4ZfSI7_l_Z7eYs3KGbXDFkEHR5IT6PFH2IVSICtAm6ZCgnvByVSQLoTjxEpq8ri7KYBd2Ej2RTlk4DPgi8F7corE5h2myKDntEZLDf7gHg03CPXt7oGYpFOVhpwMhf-iZMl5n03XQIPGf9BZuBdoU=,1,1,74756085,2022-08-21 06:51:18,2022-08-21 09:51:18,701,0,3,2.989166667,1,2022-08-21 09:30:00,0.02161004,0,../dados/processados/tweets_classificados_por_objeto_2_anotados.csv
"{'mentions': [{'start': 0, 'end': 16, 'username': 'joicehasselmann', 'id': '116519514'}]}",gAAAAABj7UmLOe2K1L72W_mnOryRtrKL9q1X5d-fYPy6fLSurseH0oS-BTKEWGdcVGsyTMH0LhsGJOYZmW3xLrKfLPEoXjKQIDW4m4NvZE3_jqU3EnC1EgE=,@joicehasselmann Loira burra e frustrada é bem pior,116519514,gAAAAABj7UmKo0dNl7PKBPSanArPxALy4ZniklKGZ4jeltrbBrcwt1i1jKzj7kcrqE9-zWVxEHe62iSaCzSlQRgWoOfS8kmnpA==,2022-08-19 00:19:03+00:00,gAAAAABj7UmLD3zr3Md6hVL8ebcAlZnKcElcC2W4zgXtYiUsN7h16U3TEXrHEdGdNXZLrz1W9x9rx5ibIT3qrk2vh12Jkb0SYw==,gAAAAABj7UmLBFxDSrRBQ9JyF_a7R7qx_VFS1aMvzy2W9c3wZ2RxIyLRu8zKWowSx-AXMixjw4q6MHi0aaIxnVbK3McG1F1N_g==,gAAAAABj7UmL2CPmW2Ff1PbnDk7MRx0sYvHnJoekHqLuV-fKpY9bBR6qZbJzX3eUINDaQh-BJ1U8-6aT4dROpeDEGEd3oOBWltpbr8-Y-NccmqDimC7N53sGUHs7feBLtAha-FyW7E8Nklu7Y4bdiATeMgl-MJ6uFNUsW5GwGD7fCLnKNz_BQEs=,1,1,116519514,2022-08-18 18:52:56,2022-08-18 21:52:56,528,0,3,2.9775,1,2022-08-18 21:30:00,0.90646183,0,../dados/processados/tweets_classificados_por_objeto_2_anotados.csv
"{'mentions': [{'start': 0, 'end': 12, 'username': 'IvanValente', 'id': '112498734'}]}",gAAAAABj7UmLzHQIgy7FUJ4QFfxl5bYGkYzCnNusxDcM8jO2QYY5RuNLTO3yQ1mR6_M_tktAKODnKy4uaL_FS07xvYdWg2rIBQ_Sb3v6q_Vg36Ul0adGaQU=,"@IvanValente Vamos mandar você pra casa, procurar emprego e trabalhar, vagabundo, safado!",112498734,gAAAAABj7UmKMNuUyZrtUK2mG4h0EfE4FSsef6dYr-K8iyO_mPMBJZL-dM6Xiy4Or2ot_muhZ0HSsgzex9HqcOHJYrnwiB2klGyGqEmvxX5UMG-Prd-7PuY=,2022-08-17 00:24:15+00:00,gAAAAABj7UmLPg6OSxH89YEoD2ge1F_-W0nUQlZxncmQ4yFAeibYbXW-2O-HsNZlngfcLaZ0Jn3w_9IAR4yDu_udmQsxrK7EJQ==,gAAAAABj7UmLOS8xMCazEKrnfTSq1G8S1yn2F2-66ywtiXxZEpWy_MLN7wttcbK1MKS_pDni86i1T3wo-q5coJ1A5hIcYQ2Ppw==,gAAAAABj7UmLzUaWIBji4TSSzTu19l2w0dRicoFbb0u2JDaB1gNguvyQxtGv13VYK2T9oUJvBymlFxUmnhDTiyLVowUAxqxF5x7piCIrR9icTqK4NzIz_PTCB27bIy3vy53iPKHJFzAcCwLFdU_8EvV-qaF4pD0JliigfRrt_CN2WrtypvMP--0=,1,1,112498734,2022-08-16 18:41:28,2022-08-16 21:41:28,389,0,3,2.978888889,1,2022-08-16 21:30:00,0.9208689,0,../dados/processados/tweets_classificados_por_objeto_2_anotados.csv
"{'mentions': [{'start': 0, 'end': 12, 'username': 'carlosjordy', 'id': '82271629'}]}",gAAAAABj7UmLui-hj_Yz0av-DxCoHxmpIPlusuvXyvHKRs5WwZHbrLXJou7fg9ZOgWR9XqMcdRx-C5Id2zU44Mc57C1ZHBrmOVQTUy9c5W0CT5gWnKxs_eI=,"@carlosjordy Esse Jordy é um bundao, tem que levar um socão na fuça pra deixar de ser ruela",82271629,gAAAAABj7UmKADMFBKtViJ6k5LpR5Vp-SmponT_Ih3X8FY7dVBrwaLhoVDbo6Wsq-p5WXYLmNQkfp4Tjhx4qWEJyOFieoXce6Q==,2022-08-20 21:59:27+00:00,gAAAAABj7UmL7xTa3b3S_vNkfDlO0PkVJS6ENOcSEiy3y6VgbsUTss1yoee4PL3oRt6Y2tPCBZ5HFG070eLxq3LHd9nf6OdSUVJfVuLqtt1r2cb4nf947Ss=,gAAAAABj7UmLDKCOwIikACu32h0Ad01c7xYQH7Y4YhPJjqYYJsNzG-YaNMKJA3CSjV_LbdR9Rbl5ktsoaI82QldKoA2XjTSroQ==,gAAAAABj7UmLzaulv_n1EsbGOL0bBE0PDRr7BW-HGqgfm_QpuACNk7QzLxjGZr0TNRoiOQvZFmnDhGvHiThd0uPsXG-FB5GlHXy7HBp8O-zFNwmzH7wtqASAwfoZDW1hQTZZUVmomHTP5xHhb_ht0X75zLt_I8-w_A==,1,1,82271629,2022-08-20 18:39:21,2022-08-20 21:39:21,122,1,3,2.910833333,1,2022-08-20 21:30:00,0.9055475,0,../dados/processados/tweets_classificados_por_objeto_2_anotados.csv
"{'mentions': [{'start': 0, 'end': 9, 'username': 'deltanmd', 'id': '2296138146'}]}",gAAAAABj7UmLA8d_7S8AlQe4aEtz6GK3M99v1VHZWSSO5U3cnS-SXpMW9a4c6-ZkIp7YBmyHEtnvSkednSjgK9zpmLM-NwPJL4vVmxedDhJA_9koGkURzcM=,@deltanmd Vc já devolveu as diária seu picareta,2296138146,gAAAAABj7UmKHGBO0oYkfrxTlMkbSxxzxHSizxYnXq5V0X7Bp1826iHtynjdTZi7vLpt-fnkX8HhPjgrXR5S1pzgTDZJz8hrjw==,2022-08-21 23:10:40+00:00,gAAAAABj7UmL2pTLbNe7r9CdYQZ81_5rFKgsV61RAJUrwdI1JtFbQSHO0HWn2rE1eYFgpafE9fNR7Uct5vK7pSK_6-9pELdC1Q==,gAAAAABj7UmLPgm_ISzPa416Ni3zNVvqvNZwmUBm80lVv1HaADF2RNf8JENt3QFEcXlQpMDc1kmqMwakQRssnSx7vMY3jUMRjw==,gAAAAABj7UmLSak4nvK3_6TLdQBm4LGLKwCPsNgPSoR-Qo0ARJN1pZnIjI_e7pVfvs_bkh6PdRO9TnpPD3joQ8wB7SPrGlrUWPL7PJQSF1xqpZkn8EJepZeUfgUupEhXKJkZGK91Y4IWbIu8J7o4FWayh0neZLGvpw==,1,1,2296138146,2022-08-21 18:36:03,2022-08-21 21:36:03,80,0,3,2.963611111,1,2022-08-21 21:30:00,0.96502,0,../dados/processados/tweets_classificados_por_objeto_2_anotados.csv
