entities,id,text,in_reply_to_user_id,author_id,created_at,author_name,author_username,tweet_url,n_mentions,direct_reply,batch_user,batch_start,batch_end,batch_tweets,batch_errors,target_t_win,actual_t_win,t_win_weight,batch_time,hate_score,target_weight,not_the_target,filename
"{'mentions': [{'start': 0, 'end': 13, 'username': 'A_Pinheiro30', 'id': '1511688150443335683'}]}",gAAAAABj7UmLJVlf2vweW1W15czKVweg2SvDBTf1-wUYbePAxmEaVAyACr9TXTqLKr-5HdvmvsW9mEXBgv_rJaU9MsMhEaqMFeQ5QIFL7wQMs4l7WDX9Nmw=,@A_Pinheiro30 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼,1511688150443335683,gAAAAABj7UmLv4pJCwN4Add6063bdG8vID0tBMd8smknP77hoRhlYRp8R5TBBwUnlte-Pi0f4JNF_Gw-GGHpJ5aj4QakMwmTFA==,2022-08-20 22:39:19+00:00,gAAAAABj7UmLIBYbzusA3tgbTOp4dG0KnYQw8tWvEW4Tr6ewKCB5xJPMjqpsHefZYtldXx2QbDnV0J3e1w0NkUqHcxoot6Bbfg==,gAAAAABj7UmLzpQoOk8q8cSljv_EO2tNISftTU1eNZ3ZtxrQRbig7BoUy-f7B8zMJx57Oy2QplMI4oQqPxzo6T2uhuxnN4JR2Q==,gAAAAABj7UmLlzheeq0Ji4YB87mw91KMPcq-Rnc6LT_WwlaXkLdmg1pO4w4EcRHlL7x_3RtWpCWJF4FM36FCPKx9jDWfKFiUtuCFan_6ZSvVQyx5Yd3trBPBEjbD0UFZT7hoBkAoO2gPCKNuy4RXdaf3mThc_eTKlH8HagHdJ1x0PGUYt_loE-M=,1,1,1511688150443335683,2022-08-20 19:04:24,2022-08-20 22:04:24,4,0,3,2.278055556,1,2022-08-20 21:30:00,0.042643677,0.05,0,../dados/processados/tweets_classificados_por_objeto_3_anotados.csv
"{'mentions': [{'start': 31, 'end': 45, 'username': 'negrobelchior', 'id': '70042771'}]}",gAAAAABj7UmLAnkDUhPqU79G4DTyw4-z9Np8AF5n9r7RIYvMcf2ZYKumlGYqyE5stlfop7f1qsjhmQdJlIIgthqENuhQP_VduLHI5t2XShjM4QJYDzL-bao=,"Dia lindo e histórico, vai ter @negrobelchior! #DouglasBelchior1375 https://t.co/T3czWnzgkm",,gAAAAABj7UmLbX38xTpCjnrrfUbGaaD4SxlPMlAa1O1o3jrX-QX5_-BG1bqqyZ9806rPvBGN72SCUfNTzzJ1ZxFLF06I_Fs1-Q==,2022-08-22 22:57:07+00:00,gAAAAABj7UmLxe9tJ4x1JcwzRNHkjZyP-81zog1N4JpMwkhjW36d5HwrNRJlBdiMYzfKxM0aA-FlEy9DoPxZfpiJnnPDfKlXSQ==,gAAAAABj7UmLUKkcgcrnse3DLVI5f7E3F3cOVq_rlr84_B-YhxD8iltzHHamtFrzG6bapFFgZuOrFbeka8ItTMNbvOKQXCoqNg==,gAAAAABj7UmLAkFUGCSQHoljc6Sp-5k9KB-hmNjhnyLTN8yPl2qpWWV6zuhuOfQP9fFv1RpGVS43LH2jSiWolrRSDOQNOvifeE_FRNWmJZFghkxDn4Vs9fD5el-ODBb2lynhGpEx20K9P8TcKr_aVd0sLPaWBLZBKWZPeYRhoA4TZQmLWG_76VE=,1,0,70042771,2022-08-22 19:12:06,2022-08-22 22:12:06,13,0,3,2.1575,1,2022-08-22 21:30:00,0.0047331937,0.03125,0,../dados/processados/tweets_classificados_por_objeto_3_anotados.csv
"{'mentions': [{'start': 0, 'end': 13, 'username': 'orlandosilva', 'id': '304092926'}]}",gAAAAABj7UmLyVWk8sR_klJoD8h77kYwr2brXZgL72GqhFbfGAa9nZudwUxmCquslfRqPoJg6t_I-yMflAgHJt_xPGh4E2qAoFeLcjhIaz2nulb3hpbcSfw=,"@orlandosilva Sim fez, filho da puta",304092926,gAAAAABj7UmLfYw9cAZOHVxcO-dhSzcZtPjtOfuUXaPDGoc_F7R7WYvLl7QzJPHpVKkht7_AEN_EEYmoBIvT79qmyXdfAMZb9vT9z9ODNiBwrFkiuRna5a8=,2022-08-23 00:20:11+00:00,gAAAAABj7UmL4k6Ivy8OuY2XPnPS9I_6kYFgicdKWf7vedgs6zDUy-q5_JmO5D4MueEAMoSJHHEDSuLheFVyPIeE32w_W1JdqaeA-hapG8_miHY5MDKJHHY=,gAAAAABj7UmLOpXHoQy9cD8s64VMhXB-H2CTDMRCVO1PACiMpTWmbsbK8xPUP3iFNxKORGgVzX_FdnsLCpiFuKfMoiPYNXGc1g==,gAAAAABj7UmLEKtPYigDU-F5PA9IvB8fw1NOHGN1R20vs5LS5N_gKYzv6cuoYQX2ZyURFJzoRvcdeCTyJxCNvxgeFiPstI0P3doi9qrT2gowF-MX4PuwCdNY-1MOmpPIs6Jl8e2NFelhdr_MdRLN248yaDcikWDsTi-5rmg3crFinS3ebeJMPm8=,1,1,304092926,2022-08-22 19:08:33,2022-08-22 22:08:33,203,0,3,2.843611111,1,2022-08-22 21:30:00,0.9115943,0.0009199632015,0,../dados/processados/tweets_classificados_por_objeto_3_anotados.csv
"{'mentions': [{'start': 0, 'end': 15, 'username': 'djalmaneryneto', 'id': '732299122242359296'}]}",gAAAAABj7UmLsA0hup0fx-MPpUMKtH2OpmsOTo4P-P_NDOSW8LCewsrcOa9-aG1ZfzCHU-XDvrfc6FW6KY3cEcfFwdL6mbq4PhFwH6UX0QxDu6laJGb-gGI=,"@djalmaneryneto Esquerdalha imundo querendo lacrar. Se coloca no teu lugar, seu merd4 insignificante",7.32E+17,gAAAAABj7UmLTj1OPeE0ZQWd49D05fjd1mXBGY-ld1P9vIe1G4lV9A0nzad3hW-vbCBa2bD_fMZsc1kuJahqOjs_04vdBfkIqL-tllFAZ6fs2FY-5inQhO8=,2022-08-23 03:55:50+00:00,gAAAAABj7UmLLbuL69JIGIgTjm-1wyDcTz1uwwWRjpkXpD3kLimdeJv0xlPcgptznL55TQur3VwZN9W3l-YzQd4zAC2GM2hecPpH58sjL_b4sC3qGr8_yVY=,gAAAAABj7UmLDwR8QyMy7qXlIzdCW-Nrd305IXACNJkxH9u6bWGY72H1aQxWysI5wpQEVxhjjoSAw5y3owS3AlQQpOlG4tGYVw==,gAAAAABj7UmLsVPp_GirhdhxQyJExubrvtq6su7BkiXRjBowIWVcvD-y_Bs-7-yKCbfRTOUTnqCVhoannBWqIcmT5wZyvW1ifZJzO73oEGfxcONbblNnsVRQXQla1lBH3TZgyPbpV7WTjopk5oTwcQWoQs2rBaqY2HBjo-K8xY0msOj7gDQrUBE=,1,1,732299122242359296,2022-08-22 22:11:42,2022-08-23 01:11:42,315,0,3,2.942777778,1,2022-08-23 00:30:00,0.9027871,0.003267973856,0,../dados/processados/tweets_classificados_por_objeto_3_anotados.csv
"{'mentions': [{'start': 49, 'end': 61, 'username': 'AtenaRoveda', 'id': '1188827192999972865'}]}",gAAAAABj7UmLU2LWWWOklrsjrrfA_QXR-m3jDt49h5NaYn4hr7azaApWfPrSgKLYPw190vtmflG8MY1e_3HPXrix4Z_GNNSHJ23g8oKsou_wwXgD4yLvKFs=,"Se eu estivesse no Rio Grande do Sul, votaria em @AtenaRoveda! https://t.co/CRwJZns80E",,gAAAAABj7UmLpnYnF9t88oJx_k23h8wB4Iv1paZtcZu9felGgrWW6ujNzf9-meY08B3srwLbhAUUQp9TbaJOwwVplxHCr_MOGQ==,2022-08-21 00:18:03+00:00,gAAAAABj7UmLWeHKaTijMFRY9W1oZJ9RLOGmfGV9mI2Igdcu3Qp6DmC5fjw3tpHzdpd0cDg6RaGmglkJDlA24G9ff3hQ4Y3Rcmtxvw7O2cA-j_8wsUq_vWg=,gAAAAABj7UmLOyPV5ynYQdkHoZLMQRwz1-dvGVsWGUSY3yzk4OLccKPCyPQKiZSIApKE86_1kn3X9D_Uja8Bcv05e1XE-m-7jQ==,gAAAAABj7UmLaNglpmtXxgm_iiBdrYGkf0xib7skLgvXYI3wDsGRGHKtXoypQUpRF949AefEiw5-SMxnwL2OKyn7M5tAY6tNxubCRWlQSI1_UPSjxoeoLm871vA_R6TyT8UuelAfliX08RzLRQaxVV5HYfnMyFaGpg==,1,0,1188827192999972865,2022-08-20 19:20:47,2022-08-20 22:20:47,9,0,3,0.8736111111,1,2022-08-20 21:30:00,0.003913076,0.05,0,../dados/processados/tweets_classificados_por_objeto_3_anotados.csv
"{'mentions': [{'start': 0, 'end': 14, 'username': 'rigoni_felipe', 'id': '939423395376136192'}, {'start': 115, 'end': 127, 'username': 'aridelmo_br', 'id': '1027889626453868544'}]}",gAAAAABj7UmL2mktcW-2z5HoL5nsn0qU1f0H67rKYY5aQ1OUQsJ2tm4qg4JHbZJVwmwK68eVFapGkPaFEYOGrM9_DqAoasgZwbDXZ5mcuImPS_2BFzpYqIs=,"@rigoni_felipe Lamentável vc ter saído da disputa para o governo.
Agora precisa apoiar gente nova! #agoraéaridelmo @aridelmo_br",939423395376136192,gAAAAABj7UmLJ5WTDQ8MUmRKxgaAijD3_a9dJc9maCxpI-T6wy1est27BlOv3Y7cHgqN7PyiHBfjt7wFFMRtR0Z5X9kpw61fMA==,2022-08-21 05:19:53+00:00,gAAAAABj7UmLJv-4BHN7kSwA8T2I2N4-54huEpTh8aGCEvHpZctl0zXFKqH3npcawrrjt5ykrFEaYO3Wp8cSPGJEAJno6v8BLQ==,gAAAAABj7UmLIUaJoBURsOagKp8ox7JCFv2woquekIO7UEpNNQnlyrSq1YdRLt_1z9PQICd6_SoWoRLZpu1aKi8RGoyU6C9smw==,gAAAAABj7UmLikmsCu3EHmi_Z1gwb-4B7iLnsIQPNCVT8mRerfgd0jQzAhn_U5ImFsKn9a__0PlsorRPuYs2E8Mo25TYPkYc_7Zd05naIixClyiI8edHRT6Xl80iYN4r4cResu3FfSN80GSW3iYdep0lwDbfFNN55RHFHpA5cvXIQhK5mVC5QwA=,2,1,939423395376136192,2022-08-21 01:04:40,2022-08-21 04:04:40,1,0,3,0,1,2022-08-21 03:30:00,0.0040953117,0.05,0,../dados/processados/tweets_classificados_por_objeto_3_anotados.csv
"{'mentions': [{'start': 0, 'end': 14, 'username': 'leosiqueirabr', 'id': '1056568434266439680'}]}",gAAAAABj7UmL8DdDGxbiDkgU3lYo0cFZDRsbrIT4odIFED_2kLDCSbFvY-uTpH3JUId7DQGfgL1TWmH8WUVZxIvhyKTfnwhiqtyp1368mWA_OFQcWHVHqmg=,@leosiqueirabr A gente sustenta essa baixaria,1.06E+18,gAAAAABj7UmLzy6zF7BOaQi2_OvMkIUUgXR3SFbHOfcyF43Mlpq91xgIDnhYXtCpLHKLQgUapbVvagAZ_aiYl5-AQqAzxyUzwcxkv_t2knv6INPmihKbj2U=,2022-08-17 19:14:43+00:00,gAAAAABj7UmLjsFjxKkZ0f1zJl41xOzfBj96UHwZKFvqO3DPgVz-jiPTU8L63tByhzgiUPb_ZZyDPzHKhpjsv3cbvAFNK3TSxQ==,gAAAAABj7UmL5rqZr-8iYJGR9FxT_Ifb4pKR-COwePmW4hjsWQIRFXIaaVVgVqUpE33ytfE3AOPRAu_1Fxe3gM-Es1MaK7LO_A==,gAAAAABj7UmLJ7lDlRSeMyc7CpbBFgQ4Xsn05oKpDczTjBasY4OeOaj5kqYjhrDu2imsAxQb3GB9Jfr2o9xIflu7A6re0u-8xJnJwm_R-PsfpZxDdiovOnCyouaRiwnQYtSIXat1nQn7svH57Z5fifls-HGyBa0tZRAzFg08t1pm4dhcOINaXIU=,1,1,1056568434266439680,2022-08-17 15:37:39,2022-08-17 18:37:39,53,0,3,2.776666667,1,2022-08-17 18:30:00,0.3414611,0.005154639175,1,../dados/processados/tweets_classificados_por_objeto_3_anotados.csv
"{'mentions': [{'start': 0, 'end': 14, 'username': 'carteiroreaca', 'id': '2797010717'}]}",gAAAAABj7UmLbuSNGJBkBgY3RjPtOq7TkRhx3geY16thHNr1kp-i0vtvGRgqVNYsAsm_p0ZYSdcjoqI7-MHhrKoVW7vH6-FvWWrA64OiW47InlOpC03q8BM=,@carteiroreaca Esse lixo desse comuna vai queimar no inferno!!!!,2797010717,gAAAAABj7UmLnsbv6bzgx9OL4YDEi1daF3s2ghLgfoNzXiOxZCpW2dlHaSU2-QnjIeCmjTsD2W-2QtTRBujLuPA0Cz79NLIBWw==,2022-08-20 21:23:48+00:00,gAAAAABj7UmLQamJQjjg6KKjccdS2-9knvj5u7U-r808ScLTM6HCdP8MlT1iCOujmFav-y9Ks1vvw5BTSMXioMSU2-ipUztWhw==,gAAAAABj7UmLW67UGKwPCYoca4Wi4CDWiOkZjynIJs4LYiIuUdUVquzAcvjLFDYK33lm0KlIhk7mQO7d4JVLxf2k4a7WpqxAXQ==,gAAAAABj7UmLbvgMW2kY4Gf2U_DUkrjqcY09wm2v-r7ps2tNso2NFZldtl57AId8JgnuBoxwdSLyW-VXk-V8k0yXVWu05AHCjSlVVilhLUUlszSA3fN6r2D_YNNYEBeBxyieXhWKoPkIJM0rJbrpD1zb4GQT2gbyYw==,1,1,2797010717,2022-08-20 16:18:32,2022-08-20 19:18:32,186,0,3,2.910833333,1,2022-08-20 18:30:00,0.81654996,0.0016,1,../dados/processados/tweets_classificados_por_objeto_3_anotados.csv
"{'mentions': [{'start': 0, 'end': 10, 'username': 'jaziel_dr', 'id': '1251558672821600259'}]}",gAAAAABj7UmLnEII6RR6aJDC_xzVDzf-TVI8z2o6LSZ7r_FgGO4srAMFFZl6Ma5c2rAulsyCXQR5wBmfh0h8457YmKcF3gUiu83DaOpMdXl5jYFGDtUIdDc=,@jaziel_dr #BolsonaroReeleito,1251558672821600259,gAAAAABj7UmLqh2b97kEZGyn2-jVY4DDJ6gzdn0cEnYxcFwqniMWYsjozfoxLjlr-ULMSEkcVudk-ERMxaDHAZZCFmiFiwb7ug==,2022-08-19 21:27:02+00:00,gAAAAABj7UmLFT-Nhds-808auFJ_ucBv8WDCw1CaRQoubEVpk1PcX0ZTmSws2-d5pnlSSg5LksEBMdUtGsrAUL92FF11r_iCqftkmoOCoC2vSqhfhxO4ENkbgh_uRcimzYWAcURGw3J5,gAAAAABj7UmLlrpB5QrCkDrs0C3WV0J8CGOxGuApf4ViaMhYHglIn73nyaDFimcbNrUcCAsLVQ_vCcu962mYxvSS6J4WThloiA==,gAAAAABj7UmL2prpIva2rF7-vpLBd7JNLgP-mKaYHUlza0m2afY9FttUkcqmHQfQAlagb3AcUtIi-vxCTTbuBwRjXHP29YfxyEnSBTy0zmV_e5aVfy4Y-27OyB8yjvDrCiFbmRIFYQdo7g7c10NbtXvXrGW_RZYq0w==,1,1,1251558672821600259,2022-08-19 15:38:18,2022-08-19 18:38:18,1,0,3,0,1,2022-08-19 18:30:00,0.0050745737,0.05,0,../dados/processados/tweets_classificados_por_objeto_3_anotados.csv
"{'mentions': [{'start': 4, 'end': 18, 'username': 'marcosbrazrio', 'id': '460343731'}]}",gAAAAABj7UmLhi2I9eugI_3pnbLhF7kU1sLJqCGC1i52h2xXMMtBORj5dCULHI4X6DMBGXs3sZ1TVvN3dsMnL-HAzI9MWOtc3of7eeKzvGOPML85OZ89XnA=,"Alô @marcosbrazrio já inclui na venda o Vitinho, Diego Alves e Diego https://t.co/gzSW7u42A0",,gAAAAABj7UmLBz_iHuPIulx92vCXDVTWccbo-ImBFz2WA5vfiPcWXkpao_4NPLPLYfQpNweL8P369cO-mfX0oEvm44rbR6GO65VYtjyfzawx_-fWWY9gqr4=,2022-08-20 19:09:13+00:00,gAAAAABj7UmLSnXlDbPfVr09OZSFsQKUdNhV-3HF1uaKxWvHAanDYW5NerkSE1Z_vKDBwzhN78kBGy8ITUd5VvNEKbiNR8_iWJAnTddN7-fyD0AZmFJ71PM=,gAAAAABj7UmLa5w-80itKoR7M17x1Hii0526aQPpOFjxOeRgTaqgsT4SI2vz8VQEqM26Sl8njMHQPJcsGy8ijZBDdZv1MsmXOw==,gAAAAABj7UmLoZ223rLeW8GO6rYFp9Z0eP09NvYCX9dGMaN8oHd-e6uZrrGNuyIBt4PUz0y3pcVnPN5oaiJ1bPe0ysrFLbmZJkLMTIQBf3Oze-IYgz1sZTaoQ9gRfhFXWLBLe5eQnA_koio6D-oClOiB8yJzXqj89Q==,1,0,460343731,2022-08-20 15:31:25,2022-08-20 18:31:25,155,0,3,2.956666667,1,2022-08-20 18:30:00,0.007680506,0.001142857143,0,../dados/processados/tweets_classificados_por_objeto_3_anotados.csv
