in_reply_to_user_id,text,created_at,author_id,id,entities,author_name,author_username,tweet_url,n_mentions,direct_reply,batch_user,batch_start,batch_end,batch_tweets,batch_errors,target_t_win,actual_t_win,t_win_weight,batch_time,hate_score,target_weight,cluster_id,cluster_weight,not_the_target,filename
27703690,@samiabomfim Se fudeu 🤣🤣🤣🤣🤣🤣,2022-09-05 07:58:21-03:00,gAAAAABj7UmLx6Wtb43pv71fEW-9Y7kdltWEZ8t36SwcKGxTPBWlCngziHzNFoHE2B2A_HYiFSXlA66kIOVBdSuKiNLD7hphtvbSbEqQuxeGUyFUhV57fpI=,gAAAAABj7UmLKBuku83duv027HwUkplJWp808yEo6KSCv-qusBvE7u3-w_QfMHlwUlivsbm0SU6jn6T6DCbYN9BFBqC8-JDq6pmqF9H0s5NZpI1HoQipgWU=,"{'mentions': [{'start': 0, 'end': 12, 'username': 'samiabomfim', 'id': '27703690'}]}",gAAAAABj7UmL_Lzcel4wRpNVFP8gLrmC4zspDMDRIzCoJdY9gmvPu5skTZaFQjoY90bOnLK7MufZIQ_2aXrQjlnnyRG6ZSe5WA==,gAAAAABj7UmLkpNJlcrTau7jQVte2OFpN3TbTrpDC1k0Mq5mzlSMaGcsgxUPkxJ1UKuot4HXceFnbvttxanF-Rqk0dHeFFzOXw==,gAAAAABj7UmLnZBuZHyTy5ASd_08spvmS1HC9ccAkoNddCVEqQTmg_vu7262I22pMrDCBVPQ9Jy1O9JWZExxcT_SvMte9knhwNAlaMp_XOYmzsIHrRNKnGkvstAmeMA3T0FX5vnDfm7RdMAWx0feiCkn_Ooop6RGuaL9cYF3wF2vw3PBNhi-KC0=,1,1,27703690,2022-09-05 07:12:50,2022-09-05 10:12:50,821,0,3,2.994166667,1.001948233,2022-09-05 09:30:00,0.86965024,0.0001067121972,3,0.0001469939732,0,../dados/processados/tweets_classificados_por_objeto_4_anotados.csv
74756085,@BolsonaroSP Explicar isso pra nós??????? https://t.co/bhKvhIT4B8,2022-08-25 18:01:20-03:00,gAAAAABj7UmLx9y8WhYZa6DpT48v1aqSM9PfadC-WennIBn9DhBvZ36G0WIyQk4E8Q9dmixuPr6HtmqMzz7h7EhD94ds9Q157jH5uQ-PwTw3Q4brjUPgky0=,gAAAAABj7UmLkhaIQdXIzsrK6b6aHFMEv6W3WfyEU8IflsExdBtTNvizJFsCKQaUGWRsPfPg6aMTjk3exuN5vjAu51Lut-CQBm5ppfW9Oxqy3zPp55Z1IbQ=,"{'mentions': [{'start': 0, 'end': 12, 'username': 'BolsonaroSP', 'id': '74756085'}]}",gAAAAABj7UmLblPI6DFqY0FXBgwXfwOrfq3AAYF8MSNogErY4g99QAlypU35tjkoDOATVo4VHEMHq8_9AKbmI98slqy9XNPP2g==,gAAAAABj7UmLV2m21YA-x1uqP2MGJxOKEQ_GyIhDwcv1I5tMqPn7cmOPQ9LhiN1Bx7VaeACcNgYq3HLzdMtTqy58xYuGd24tRw==,gAAAAABj7UmLPW8-uJgBRgg646uJqm3veUcNo82Z9-Ef7hpelFWpqsNBcxYYGxt7-wG7QGDAmSpcAcHVifs83nJdOdL8oaBfkepfRlOZaWi5bLU8VQaguCv0XKnumC6Xqglh5RDKPafSB5JGnO7sxwDDxdtIzpc8lw==,1,1,74756085,2022-08-25 15:38:11,2022-08-25 18:38:11,836,12,3,0.7938888889,3.77886634,2022-08-25 18:30:00,0.0061551,5.29E-05,22,0.0004385964912,0,../dados/processados/tweets_classificados_por_objeto_4_anotados.csv
758264276,@nikolas_dm @AndreJanonesAdv Putinha de motociata,2022-08-27 23:43:31-03:00,gAAAAABj7UmL93cBEveMp7pUXyQRmNQ9TdZuhRwtTCyXqI1VxRivXdbJN0eR_j1EEq44e_LQzke7_sR9MwMqlqvbaDYNPGLCfNC6sw8zCO7aW7KmxqRSNmE=,gAAAAABj7UmL7DAGpgB4GsRjs1bFYs7Md9drKdQnuJsy62qjDE0zkR8LP0C_jXRYkopKWudlUQOKNixurQlSxm1QYQxtJd_y3gnixDYBBsepAIJ6uUFfPrE=,"{'mentions': [{'start': 0, 'end': 11, 'username': 'nikolas_dm', 'id': '758264276'}, {'start': 12, 'end': 28, 'username': 'AndreJanonesAdv', 'id': '1198004545'}]}",gAAAAABj7UmLrKgfskM5nli4s4_3tQRf7Bm_H76kAorqmgMojWB2Shtbam0JlShc-vA6nfMDsp8WZiQqr5xj4LKwoxqPmfeF4UxD4g3c2VT0Orup_fr9VmkvPEp4BxM6jjty4ywVm5KDrPo_s583oLBV9GpNisoY9w==,gAAAAABj7UmLHzfBrquwx3oD1L9qs9UpD758pN4fz-bGrlkVu4ZoGvJ0FDK7yulVXMmnyZk9L37AgLLH9pVk9ZZNBmss3hw-mQ==,gAAAAABj7UmLEtW6tsZ8dbB4ohh-PFrjO12PsIdXEh9ljJVlc96zjrVsHxlWU2layI3Nny0gc0BgMjcSBn6FCtuHK8i6O82qMs3dCCBy1-oAH4p-6g4135FQuwKJUoVu1oNmQvg_BWEJCGV80PUisdo0nsXSVIXY6tO0vLPCwiLH1v6epx2wB3M=,2,1,758264276,2022-08-27 21:45:11,2022-08-28 00:45:11,742,3,3,2.986666667,1,2022-08-28 00:30:00,0.9577049,7.47E-05,30,9.62E-05,0,../dados/processados/tweets_classificados_por_objeto_4_anotados.csv
9.75E+17,@Zambelli2210 Ministro vagabundo sem moral,2022-09-04 21:21:20-03:00,gAAAAABj7UmL7uGbCdi4FpORYHQqT6xPyPoQzbHeJ-1ntmK5rFRCK6oZ3LBQ-SBMryuUeVu6C3rNVGa6Sy13rzl4SIt2yN3rcFDFF6O7qBALXDpuRtGabJc=,gAAAAABj7UmLqSc4v51ABn1VkRBUKnyapqzsxqGxg5xVHMMddeof3ILdUM6TEnydXNHnMM7w94FJphiY-oZKS6Lvk2mfv1DiK2q3DrfTOwqOoDwhL2RMA7c=,"{'mentions': [{'start': 0, 'end': 13, 'username': 'Zambelli2210', 'id': '975127727501185025'}]}",gAAAAABj7UmLuTSj4CFgrwcpZhmjOceimJDRDhEqTuXCnVPMdmpirvKFiw2Y2WsYWarvwgbtWox6t0QEG2eGei2cqzh1AoNBFj793px-GeZfVKiNci45bME=,gAAAAABj7UmLX1olHSd17NU0DoC5UCtBcFuiHEhiJmFRWN180STpzLbpRruIe0eO2LgFQiyhqbs5xVaGPDYKu82igM3AoKlw_w==,gAAAAABj7UmLwBFhG0t4fnwlvLavugHMFuBO8DpdkNMT2eWTOcuMKfgAti5hnTIVzA4okgLmJwWxSCbSY8vN-ZXm0dKaVZoYOItlYljZ2eXdoL5EjcHBelsClHtIfkNFmaT9hjg2RS3hRBVfs2aEY6bLzpUcVD2ueA==,1,1,975127727501185025,2022-09-04 18:41:59,2022-09-04 21:41:59,845,3,3,2.910555556,1.030731056,2022-09-04 21:30:00,0.95301676,6.87E-05,8,0.0001114827202,1,../dados/processados/tweets_classificados_por_objeto_4_anotados.csv
,"Olha aí @AndreJanonesAdv da rachadinha o que os caras fez, fala para o Xandao 😂😂😂😂😂😂😂😂💸💸💸💸💸💸💸 https://t.co/z5rf53lGB2",2022-08-30 00:29:13-03:00,gAAAAABj7UmLTyOSKXAnInWBGuChce8wt85f8Z3Rgg2BiJmZ7slKViUck2b6KQiEZoG9IZNjS0CLk1A5Y9fp-1YcYwwmze3Fpn6wkq6uBTVRdOxLw5boS_A=,gAAAAABj7UmLtid7S6j4PUf_MCc5c8L0zbM5YCHcOCMmCDKrRQCgEZ1Qe2RdQ-I_ydUF2mrsWdsgemDXCrRMB1q4dkGSrUe_srfM96rkir051UAbm8NGg8w=,"{'mentions': [{'start': 8, 'end': 24, 'username': 'AndreJanonesAdv', 'id': '1198004545'}]}",gAAAAABj7UmLqCsP7i3GErLoAiULBRJDaD1TEgShT5TtSDLg-9SOoJedTG8R3aSZzgvQJBqnu4Wkq3ArlkVXwrBjlmD5E2XJxg==,gAAAAABj7UmLcx6wrDFNOwpZVpJ5jTqi7STRs5c-xcR722fq251bcok2Ye9o1CE1D7oEOevIHvr9x0-2Gx7bYbMqZdt3pl9whw==,gAAAAABj7UmLm2YTMwyf72rUL_B-EP3VgPuXia9JF5VD454UTaIByFb_qHkWVXpeiVtd5aBH-6zyO6gskyfW05ja3AiBfX79zCxIe5XzZkkn0nnf68VDZxYRJga8MVwU3ijTs7n2zM6OR7fCKHTWxwy0jl6cSreia3jbvGHZSIw0LflvtcYvoOA=,1,0,1198004545,2022-08-29 21:39:28,2022-08-30 00:39:28,836,3,3,0.68,4.411764706,2022-08-30 00:30:00,0.083182946,4.64E-05,24,0.000477326969,0,../dados/processados/tweets_classificados_por_objeto_4_anotados.csv
35805725,@marcofeliciano Mentiroso. Contam pela metade pra demonizar os outros. https://t.co/uaaFOyqaYS,2022-08-26 15:18:08-03:00,gAAAAABj7UmLdZEfzNZZJniYTZkDwnQm3Fq2O_4O41sQmS2eMlUrYKGIYUMcrloion1tod7cv9LvU-h2q9DQhbGJfj4MugWKvszQ_vG9yYi5FDkgiIE_49Q=,gAAAAABj7UmL7RdiZpv7uZhSxYTVZZbB8iERKocWRWCblaxb7gPd3YPIaM60jbZEToGnDT9tUw9XptiP57zL-7-eNP2VCQ4tPSnZcQTNX2Bzifk6rd-Zv7E=,"{'mentions': [{'start': 0, 'end': 15, 'username': 'marcofeliciano', 'id': '35805725'}]}",gAAAAABj7UmLuQ0e4cMljBwcqch7z_eoNYGA4R-yT3MUPsjTNc5JPvChQ9HtAzzFkI2SbFIgo7UmnH2qpcWPARgD5ZZf10tgZQ==,gAAAAABj7UmLupII5bm8amvXqxVVCQ-N6i3WjkRKQUdDsPgsuou8lEF5fzPs-QNmJPTXCT5VgF0P9iHhVOhfdWm7ZY3Quhs4Qw==,gAAAAABj7UmLdeDnuE5IQTqPt2WiR8Y_Pw_GPF_c6KZ6qzzt6qpJj-awzUqrrsCBiYKCTlKzvR3-zCEcwb_w5r50NAvrmd7mDnI7twoBuQBNLV75p5smeY2aQS9Ho5iSZfyTiMJ5SIslMk0ETBEnKJc-S7ScknEI7w==,1,1,35805725,2022-08-26 12:39:23,2022-08-26 15:39:23,89,3,3,2.770555556,1,2022-08-26 15:30:00,0.18869065,0.001067235859,36,0.0007288629738,0,../dados/processados/tweets_classificados_por_objeto_4_anotados.csv
65720380,"@Glauber_Braga Não cansam de passar vergonha, criam narrativas q logo são desmentidas. Sabe a diferença entre moeda corrente e dinheiro vivo? Sabe somar e dividir pra poder somar o dinheiro de todos q vcs querem envolver e dividir por 30 anos. Faça e verá q é muito menos do q o 51 🌽 do Geddel https://t.co/e6pnNi6DYe",2022-08-31 12:23:04-03:00,gAAAAABj7UmLf4bWGmBzyMFABuu8WF2QhSBC6HVM41e5ZdPcQdIlXyzAjUyS8I-Gg_NWxn8inkJXy6lAEFmemUutHSjBF_w05Q==,gAAAAABj7UmL5_CyTD3vVfJfSK42MLX10tzlmmCH1xpG2820-Y9YP6EVmZ0uSz1XKdzin0qOmqKFogupKCAwUgnNdtvc7Rs-8XVdbtH01H1cJEHQcbu2x-c=,"{'mentions': [{'start': 0, 'end': 14, 'username': 'Glauber_Braga', 'id': '65720380'}]}",gAAAAABj7UmLM1TCWwDUooUr2s9STQIHZkZVAJSekrF254EjpunOymsr3Tqx1Y-pmsmCqrBsZEqUwM13qJMyElc8rWB37cUF25pKAdLhrVRcdvZiyBILg_w=,gAAAAABj7UmLYbDrxAYXJz6QjzGxHlKuanK_UNQIGyVPzWZti8kZvUQ6TWG_GXQEkA8pUEWfjtfbGW7RRVdoXDh1SxV4JuMNhA==,gAAAAABj7UmL7li-zM3wnxpkp9ijrMiMaNhi0wMHQMJSeodMDlrb4mD8x4wiNzUVEUGHYDt4W_Zr55k3XywQ011Wy0pllLQM3428WIM80JzP6sHY6vc51mk9TpzoLSxUJlybdiZDJ651Fdt6frg433EIcLeJKarHPQ==,1,1,65720380,2022-08-31 09:38:11,2022-08-31 12:38:11,172,5,3,2.987777778,1,2022-08-31 12:30:00,0.021904206,0.0005844535359,1,0.0002326663564,0,../dados/processados/tweets_classificados_por_objeto_4_anotados.csv
7.62E+17,@GuilhermeBoulos Vai trabalharnseu vagabundo,2022-08-26 14:31:45-03:00,gAAAAABj7UmLmc1PU0jH-5z3ySjnRu7H3CiQWVUj2rIiIkd6594uVtRJXJVDn_xHRWasqReq1pZ071_0b0k11vB35AmVhgV5m8-OWcygRUnCgQJdoDQ_Bn8=,gAAAAABj7UmL7zfIEG4DZ6w2XZs6LSFxPtir8XkJ2DQ4_0lTkNGOGqZLiDN8btdKPiKh2taC2wOZ6UXHXWZLb5ExIGKiuCws1kOo_VGhQWir9VAB9uYWfxs=,"{'mentions': [{'start': 0, 'end': 16, 'username': 'GuilhermeBoulos', 'id': '762402774260875265'}]}",gAAAAABj7UmLHBK6D97m3qZHyK45NuBOiMr2nyaIr1O2UARSPUhaZnErPb-KS-3xixY3OdeFcvxVhY1SYC6-KX5aSkoqQ24VbA==,gAAAAABj7UmLxogX-UWcAI63SRMyosM80xUjsGP0VyeoH4RW6-c-pa92OrPHAD_5rzTSE068g3w2-GIZIhnPagaN2XcewpgKtw==,gAAAAABj7UmL82NXaie7fcMVdgE4Amu9hq_tbMYW6K8rMOu51GJClcAny0le-IZ4uBcjVTRkLCiJZCaEAeavJ3nh34pSg6iUOzBXKVkTmMA6AmLkxik3tcRPFnVSf6jEjV1n7AB2Xn8IcdpO7Xta8fF3eXRIHY2Jcg==,1,1,762402774260875265,2022-08-26 12:52:57,2022-08-26 15:52:57,835,4,3,2.992777778,1.002413217,2022-08-26 15:30:00,0.9092393,5.52E-05,20,8.36E-05,0,../dados/processados/tweets_classificados_por_objeto_4_anotados.csv
67183252,"@andreporci Olha como ela aponta o dedo para o Presidente da República.

O presidente teve muito autocontrole.",2022-08-24 16:46:11-03:00,gAAAAABj7UmLcE44gsK8ALp_LLbCpHyiorOHPx-K36my016WeFCI_yW5WJ9EOM4kAT-UxfSGkFspkik1M2Fk7YNv9nzzJneWhA==,gAAAAABj7UmLTwzPlt-pJwpY_DbZoEju0nD91L2XYUFitPwUHzBFzIlQJWN45ozvdUF0_g3LDwpWPjATZFilviKVDlmJmIx8X-QEqkMMlsi_GnqvCdSLuXw=,"{'mentions': [{'start': 0, 'end': 11, 'username': 'andreporci', 'id': '67183252'}]}",gAAAAABj7UmLAi0RyqbByooQdn7srBlHoWqRcvJvoJq-Ryek3Wvr852HHeoEzxhr1Xx3f7UBfgMq8iI0A6NYNEZ4lpXpGxYEpw==,gAAAAABj7UmLv82g6GsNTjg4lkCnxs2Et4X6qGV2ZXs0gPmbMJj3eNAHOHvSdhI7UUMaKKgmW1x6BmTBeHgAL4CYEAgbPXcS-w==,gAAAAABj7UmL1wWozGOSHff87ct1nA2qnLmNGYzrlqJMZ5-fZuYz7-sYei_bGa6mPBB6fHWt6qwxubofg_PRUjBR9jTYBrBFwjq2JYFF8F8x7TYKxO7KFSlDaBVbX2EACE2CWC-qL2UCYWOOoGYmUhfbYjn1Y3KsnQ==,1,1,67183252,2022-08-24 16:11:27,2022-08-24 19:11:27,113,0,3,2.943611111,1,2022-08-24 18:30:00,0.004607991,0.0001842299189,23,0.000260960334,1,../dados/processados/tweets_classificados_por_objeto_4_anotados.csv
1.27E+18,@ThiagoResiste Mente q nem sente esse aí https://t.co/eJthPW3I0N,2022-09-03 10:35:58-03:00,gAAAAABj7UmLY-M1XxdeVKuEYmbdahNw-Qm-ry8j3HwMMPSX6e7BZt6ZCRLfZrmv6V5_gcgyyVxMdrW_NA3h1Q9H_hnRxtQbcmXwyoJCHSmHuIhc3ITNGN4=,gAAAAABj7UmLwgj1sqUiAJ8cNO-1YpS0JFwcSaAq0Al8cIEas7FG0cfkiEWJgCYLGXzmhz4wbGFDbPOdXohg9q0gMYcL2sXK8hmQQnDVF2EfNPKJkhCCWlw=,"{'mentions': [{'start': 0, 'end': 14, 'username': 'ThiagoResiste', 'id': '1270774020808626176'}]}",gAAAAABj7UmL3wBCwlMkv33KydNj3igcss3UjQaXkRZqw9JWMm2d6xYGpAzxgpGx8DZr2QrsOeIwOTj8ns8dA85NQbiH0CfyxQ==,gAAAAABj7UmL-I5_RtH4s3sVIUvAqWI1eWNXJz_c-IdrSvHkOuqb51pT80l7Vu0-uklJ1I1jsGAd18ij_DgmiVF9_pDHTkwYYw==,gAAAAABj7UmLF3jQGoM1j4N8Hd8aClXVxYtxGv7VmISrUCUAyadmZvXroqcHVU_MYK7RFJRc5t3y6NOWGN9uuBYDLEnvtorNwUjdfkFZF7JgQQbhOByaTuKrap_Pkj3FK0HyPoNQjI0fhAHZGFHxViJR5Yvb29jxtg==,1,1,1270774020808626176,2022-09-03 09:34:45,2022-09-03 12:34:45,850,1,3,2.379722222,1.260651337,2022-09-03 12:30:00,0.04227228,5.01E-05,6,0.0001217581882,0,../dados/processados/tweets_classificados_por_objeto_4_anotados.csv
31139434,"@gleisi Putaqueopariu, vai ser burra assim no inferno.",2022-09-02 12:16:28-03:00,gAAAAABj7UmLJkDDcm5ioMKsa0MyY4eDHjLUbS6BSzqTzIrxGFe7ZoOlyyi3QOgwNpdId511GK3IEWwtOIAwTLv5q8CgWrxXQM8vP5Fn28sKBYHT_CGC8YY=,gAAAAABj7UmLl2_SZskZs59AVkmDvunCVm1ygxCL6iGSl2jesqAEVLeTQenx3CKpVLn7hGCnQlY0bASZLsVg2_9bgW5O3KGUmyrMvoigAm0LU7RaRF6laC4=,"{'mentions': [{'start': 0, 'end': 7, 'username': 'gleisi', 'id': '31139434'}]}",gAAAAABj7UmLYFRBGEPEngJ3KnA5uS2aURODSOyz25uYs8K3Hzx6KjmFuda1FIKKNp0tldykevFZqgnv74Q8znUpnv8QumW5Ky96DT5p0NJkg7VJUjF88sT2q4KiHUOHzMXKxfWtgkTq,gAAAAABj7UmLQAX8zoGd4bC00Zu3qSysHL4Fss3iFBZ3XNIXjUjGDPEzMk5GNn5jTsB79ahRxbNtaSWebxU6mjmViLet1DlM_g==,gAAAAABj7UmLW1oCjLIhc655gyofV_uAh_jTKoQdVuG0yJt4c-xUsUgVS1FzJbODkxd5xcxmP0V03B4RJRI_MYP-I4N5vZAI9qBvvgmmWdkvi-BX3q1EhOYD2e28Dlh3hsJEMJXPkb1NBiWEzmT4TVYL0ElJ6Mp_HQ==,1,1,31139434,2022-09-02 09:55:10,2022-09-02 12:55:10,843,2,3,1.4475,2.07253886,2022-09-02 12:30:00,0.9239185,7.45E-05,35,0.0001177163037,0,../dados/processados/tweets_classificados_por_objeto_4_anotados.csv
