id,created_at,entities,author_id,text,in_reply_to_user_id,author_name,author_username,tweet_url,n_mentions,direct_reply,batch_user,batch_start,batch_end,batch_tweets,batch_errors,target_t_win,actual_t_win,t_win_weight,hate_score,batch_time,not_the_target,random,filename
gAAAAABj7UmK_MqVntn27aWO7370ohCZBdDrMblTyralOdsZA65KtBcr681xEv2UHZvcKcokjlNMPemclsYcEhzEeXG_cyfsliXNX7wekGouI5vIbptOFZA=,2022-08-14 22:07:48+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'CarlaZambelli38', 'id': '975127727501185025'}]}",gAAAAABj7UmKyt3m0XWl1qhP3nbfiJiFzmRZaEj0tm_sqUE2RebcLh0tjFqzdXqv47JH941QqSUQaLSCXnfmbasVj-_EvAyY0LvQ4o9ymsYAc5TZFBHR00A=,"@IvanValente Um sujo querendo se limpar ,",112498734,gAAAAABj7UmKrNJO7wMlUqXpAsCOlJGYhIZXKgad-3bvIeCGbRktO87-3k30eUk61nF20ekOCNJvfx_QrUuddr34szrRB-7s_A==,gAAAAABj7UmKib9SURN3nkNVh9BBTcvy29w6kHQF8ZE43yrHptR_IKeHvYMhXuYWUe_uAClh5YshRkg6boihms68D6Mb7A1fiQ==,gAAAAABj7UmKJdkH6SLFKjVSRexeNEdP037qF_6SbJ75_xIG9cYLDnmM9MFcwY5WbU8HMN62QN-cXvU_Yt8czgjtcFkAKmeqIsSqUc9nychgeOIpFwqI-JUbvRzAY7eBlF9SVy0EbLs0nZgVboBV77eLpo57OhwGeJfh2FcW5Ehf1ImUZHpQpos=,1,1,112498734,2022-08-15 03:19:14,2022-08-15 09:19:14,349,0,6,5.991388889,1,0.42142534,,1,0.00003360989881,../dados/processados/tweets_classificados_por_objeto_anotados.csv
gAAAAABj7UmKegyABTqnvQ3MYo3oGStmSLNqI4-7-gdUJiSJzMOi_WhgE1_GUBpeH3yhcrq4kukUgXvoLyi3b63OzGhAgpolJZjC8zOIo2q5FMqJnSXpCgc=,2022-08-15 17:55:03+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AndreJanonesAdv', 'id': '1198004545'}]}",gAAAAABj7UmKtAZAmJfXj1x0ckRVpvpxiwuBNNahT9GXYantuDD4DRgHZyDwW2AKJTCQ1K_glZ4jExtR0kKaj-pBdItr6YB4sg==,@GuilhermeBoulos Grandes💩,7.62E+17,gAAAAABj7UmK5zDk1VprOCyhEOuwcGX9uU1nAY1sj4RCqTWE1Zvk2xUzNLmJF_ttR0y1gTcK3WsHeebOO3FmabNqkA6ke9CTfA==,gAAAAABj7UmKe6euDLOlyJBA97OLvU7dC1VEF_JzjIIDfpr_s31gFDnbRdwqmiR0_6gCELCWXICGtEQwBShYu-n-EsDmPF-Okw==,gAAAAABj7UmKw7Dbo78_jx8qLGnrNf7Dl3SnoBVrUBNNFf7qKDUqx25tuRfLhrSWkoPyxwkFWwnX6pb2qnyxf9W2XkYEDdege2Q-A9jWfjvmYEdhx7GQ22WNdK-NTGDKYFSJvmzX2BeUhe14zL4ML2YV7pZvRWhgwA==,1,1,762402774260875265,2022-08-15 09:01:33,2022-08-15 15:01:33,846,3,6,1.465,4.09556314,0.032777254,,0,0.0001413261188,../dados/processados/tweets_classificados_por_objeto_anotados.csv
gAAAAABj7UmKVw08bQ68LuMrudZvB1y4xnyUjXXTPHJGsFUsd5tafHlUBnYw5tkCJe22i8Y-F7q1qF7-jxSv7QuQGco7xA145Dg9cQEqdrBaZhbSLDJEhZY=,2022-08-15 18:08:29+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AndreJanonesAdv', 'id': '1198004545'}, {'start': 17, 'end': 29, 'username': 'LulaOficial', 'id': '2670726740'}]}",gAAAAABj7UmKD7_2gdk6vUGXWz8jsuSxK1ufexaxRjjBHD5024KwdDyYpb5Um_-5QElQUmwtXt_xa0m3mP7L_iPx2LZI63LFVg==,@BolsonaroSP E um merda fdp,74756085,gAAAAABj7UmKpUYmHn0LTqtVQe7Mx7iQjOkl-nrngdXnfcJvgqcHjrb1QZm4bPf5dMHYuvoP9Gw8B_YivXcSCLQokEIMp0y2MA==,gAAAAABj7UmKECqDBq6e0Hl2V7EoOyKlK-AFY2iF8PeIa777Jlq0sxvIZCrmdKuoMC0-6syaDs86g637L3EnFtjbRZuaMTqbcA==,gAAAAABj7UmKvUzwbuxn4yyK72pSVo4cv12-4EoUj63YxTvv0x--nHw8v86lJl4eM1U6hAp4aK0q79_0fRQm8N-Bgx1nbPfpkS5EHNvFwkfbL-Eq2WlhF7djMnPsQguk02APIQH19kseZ3zdlE7w9TwSAXaN6dHurTJ74jaCJ84BCaRrSkgSuLQ=,1,1,74756085,2022-08-14 15:09:44,2022-08-14 21:09:44,843,25,6,4.066944444,1.475309064,0.4817699,,1,0.0001736035051,../dados/processados/tweets_classificados_por_objeto_anotados.csv
gAAAAABj7UmKe1tvA_ilR1DT5irZACCVieLJOUbRsdCbMIgmkqoBuSbGBQK80YGv8K5UWbK4C4fF5NICYjcHVMy5mr4aClXPwUnX_0S4m16Imy0HHOWsKKs=,2022-08-15 04:02:27+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AndreJanonesAdv', 'id': '1198004545'}]}",gAAAAABj7UmKH84Z74194qL3uCnrJGl2e868zC3t-VV7cGwEHTWUPnu8hNuE6OndMNSCX9NnwLlYu_KCIOBCMsOt6D0iqOKpsS3QoMK5HTy3GT96NIk8yLc=,@verdouglasgomes Ué?,745611833248186368,gAAAAABj7UmKDgjpqnueZI5d7fmThucUG7b6gyTpt_GknR2UQ89hyUF893VjJ-sm15fb-aRcVzkdsoux_ytXsieVw8B1t52w_A==,gAAAAABj7UmK5sbO3Q1JZAqlg1Sa59NGrFVSY0H0ew87ZgI4SaCqEc4Osccmp4v___btNMuxCWxTdcsIaWv6YwS-H86kbmOQZA==,gAAAAABj7UmK1kB9AEr9vYIKPTP55ldUk5g-zJA8rq6RH2B2DBx2B6I77FQBlUr7b7bs3aG2y6UNoKeMahsYvPCHajdOuTm-BL3pmmlgstcpjjzJx4lF1GU-IZ2RMRWbSSztgNkEaK45DD6D9E6chw04yVItQLXavO81TdIZ7ls3zxNDmS12wtk=,1,1,745611833248186368,2022-08-15 09:00:42,2022-08-15 15:00:42,33,0,6,5.694166667,1,0.019926907,,0,0.0001935963,../dados/processados/tweets_classificados_por_objeto_anotados.csv
gAAAAABj7UmKsRCCZRwjcSxMcey8Gu7CVJ__fJOmZSZvOR96vauQ13jkdLuTah6L6SWL3-L8CncesTwDklT0RjtemQrJOOncJCob4QjRD7vsElUg9cwS_24=,2022-08-15 17:58:38+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AndreJanonesAdv', 'id': '1198004545'}]}",gAAAAABj7UmK3w_G2Pgl_19e_UnYJXAsEYzu7bouq0agikUBLIAWOi17NtpR96jL91P1phhwVgd437isK-utxP0G_QeMIsh9jxqR3BYM05m9DSi9JIwxBhk=,"@AlanLopesRio É Alan..... Isso tudo é culpa do bozo, como dizem.por aí.

As pessoas se acostumaram com cabresto.... não aceitam a porta da gaiola aberta!",1.16E+18,gAAAAABj7UmKusLJjNMAsVplksGfGKqVLEV55REQnNjBQSpJhNWENchNLbQnCL2sqCsgz0HFoM8BdMgzcY1BMp6ZhNl7Hkh_8Q==,gAAAAABj7UmK5N6Ujxip_GpSoSbCM2ZlDmH-lpRNdRCP2TSoQQU_RJQsXxbDIvlD2QhVPBmqiR7NmPEpHJ3ztTb90oZBO37qTQ==,gAAAAABj7UmKngf4IH-H2fflfbBip_kZdPK9YA1GrHas-YMPBtPlgH7rum6H3Oqb-BWO9D1IraGv-VqLe3YDydz5KjlMTcJOEVfKhGi8i33m6wvpn8y4IhXKTpDYx9W7FqSBjkR3Lzqi_aC8tRrdKc1KDysrbekq5covhNcuxW9e6VKRxqOyuqo=,1,1,1157984524116156416,2022-08-15 09:01:08,2022-08-15 15:01:08,106,0,6,5.961388889,1,0.37517238,,1,0.0004998795917,../dados/processados/tweets_classificados_por_objeto_anotados.csv
gAAAAABj7UmKYrzp4wb_V2K2LtnbvAm1h3ni1g-e-FpvubFeUxDTm8kvlPqwFT5aV8GmqcblooOUkr37W7olcvwcvquIaun63Xm9p72j4VRZWjLndvlw74o=,2022-08-15 03:52:27+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AndreJanonesAdv', 'id': '1198004545'}, {'start': 17, 'end': 33, 'username': 'CarlaZambelli38', 'id': '975127727501185025'}]}",gAAAAABj7UmKkNdakgNXPUprvPo-KcbCvEC8PfT-13kWWrEuxsoCjM044j9Q_YFIBQyPv-m_MCocGyDP6nHi1tLuvRMaCpVBwc68UDauSurXHNwcxxWpXj0=,@delegadoramagem Lindas suas filhas ! Parabéns,879348307,gAAAAABj7UmKRouY45RfHvkdiuzUOXrKq2TPjphpbD3pfqmQYYOYSP-p4v-XuMrz2fw0Y9gebmQ9iND7bV6aRrmVWswzfc_pQhY3HymKe77o3fSxxSaE5rbuEtUpJCIJOxnMX9mddrpn,gAAAAABj7UmKyr6Q7U0tYa_PIyRK3LzTYPs8llQw91w6I3VQYtAAhaKzWoyixJ5e9UuOm0DLJZTnFDRn4sPBbgfaxyiPekiZ-A==,gAAAAABj7UmKMHBr6ruvvHIjBgs2RQQPX_cXzfGs8pVElWTQIe97AErSE-fdpO7DbquS-rruz_p7LnDNV2wt6aOQmMEDkfsWu313YROcGfAIjbsYeRoJFk6seEmVZrZXVS2DezwI0-TgyjuwDwO92HljND1DY4xQiw==,1,1,879348307,2022-08-14 15:00:47,2022-08-14 21:00:47,102,2,6,5.974166667,1,0.021404624,,0,0.000551128953,../dados/processados/tweets_classificados_por_objeto_anotados.csv
gAAAAABj7UmK0RWshV6cI4TtkKDh93bDdMwlxIRYLayIX9jEl9B9heJ7xvLWk7vI6k8gYzCh9Rfu3tKIGG-o_6CSwSdEsXYYfJc6iD4ZbSibf9xBEJPxyRw=,2022-08-15 16:55:46+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'GuilhermeBoulos', 'id': '762402774260875265'}]}",gAAAAABj7UmKpByh5Dcoo4dGvEx04Zzs7HrIQjPZQRs0ywF59IsCzuutoDxzD_wy4-02V5dqRQP5-KizUVhVPBKSUl4t2ZEC0mTxXq_lSRF8Dxow2ky5z4M=,"@IvanValente Cara se a polícia manda parar, obedeça,vai ser verificado se não tiver devendo um abraço. Agora se tentar fugir ou mesmo reagir.... E pau mesmo.",112498734,gAAAAABj7UmK3sH5EI_h7ZfXhXJcz4OVWAfJg33Q7CTv_E2Z-9ZjyNb1lINRbo5cbKhdanAqd2oMFObEdPyB9CRej7btA1V1Wg==,gAAAAABj7UmK6w2_h-D5sUmsgA4PjtoWwZgstYVIalOAgwc6h8pjhQ7rrmfsWRPoh1IXWvdp-fxS5D_heaLx9O_7jIO7QpcgJw==,gAAAAABj7UmKnH5ldlhb9cim8wgcfIPoFsibCl-ondoLuhERrWagt6csK8KaFRFYLybIQMV4QEOUc8P9LxkLIeESSJF4uT6fsLkEJQrAj7S-HvH169EL4DPsc9zyKOv6YufNeVL_hXeEcbU-dqQHiaCtUnmmZGVZMv_D6puHFewqXFZGfqMPo7k=,1,1,112498734,2022-08-14 15:15:33,2022-08-14 21:15:33,847,1,6,4.675277778,1.283346206,0.06029385,,0,0.0005571070458,../dados/processados/tweets_classificados_por_objeto_anotados.csv
gAAAAABj7UmK_rvg0DnOpdIMbmsI5GVfVrnPg924cqZDc52e7AW7a4kt5tp1pIB9d-F9-00hTrMeP7utHmlhnCC1VN52pqtsxa3aLk8__f_g1mypDc77FHg=,2022-08-14 21:34:40+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'CarlaZambelli38', 'id': '975127727501185025'}, {'start': 17, 'end': 31, 'username': 'jairbolsonaro', 'id': '128372940'}]}",gAAAAABj7UmK2mC09xqhZ6vQlxTjxDw65Y9lFCMN1VovWPcDHrurN1BxDUt6DUkZpc_tlLNgNJghMnsUIsafG_D1pwfgC8hJtw==,@CarolDeToni limitada,4566967516,gAAAAABj7UmKp0pzqHkAzKLNEoNb-kp5V-NBoRMoO8_eXfMsyy-9EZRRnDtMx3h-SUmjveFurfxLYXJBlZwbjufxKgExsqwp6w==,gAAAAABj7UmKFltlwwKo-_xhY37tkvAwHo_w4MdtlL1S8FMIJSGRVe5aRPLLMRingx7syS8mobrkuo6trI4HwSiDCjVagqQKnQ==,gAAAAABj7UmKnja2vZBumt-J3StAm7OM9j07Re2ba3H1EJOvk-GRvegqprYID_885n6Dbpp8FDUoIwyx93JDhrn0N3CfnKBXC6n_dp__9x2Tc9BOZjKALuhltNM0reUoLK0WzrTDsgmFYMORzZwTNeSuqRaAAve5CQ==,1,1,4566967516,2022-08-14 15:15:00,2022-08-14 21:15:00,103,1,6,5.95,1,0.01362561,,0,0.0005895551468,../dados/processados/tweets_classificados_por_objeto_anotados.csv
gAAAAABj7UmK8b4F2C2RoHITB0vCbPTXjzC9HxSz2GeT85o913zPa-kej0sftRQSc6Sg31IiwOgeNxx2YmMU-IkExeYZF0ErzCVA3BYCeO26FuWRlHfCWAc=,2022-08-15 05:58:10+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AndreJanonesAdv', 'id': '1198004545'}]}",gAAAAABj7UmKVOC9KopUNLUPT8e_Zz4Az_prF97bunOgp7Em8fV8931LzUE6wC5DPIAvS8MZOXm7DzofQB1xshXbpCXu4c2I1g==,@CamargoDireita parabens,1.49E+18,gAAAAABj7UmKU2dFG-azjw2vJ3Uebq6TMLT0P9EJmcDtjO1TK0Nnkvtt7u4kpQvAFNRGEzhsSqcbmOnhvYcsapvIYTxYWm1FVg==,gAAAAABj7UmKh9uZOjA5J6KRE2OPyeL_nEirwZ_8DKRPBzW5WeturECgrDfyJvGhOsZ5jfs-vH17Ovsg4DwdgFutsluBOz8GEw==,gAAAAABj7UmKcHtaqSSnOlual5vrkPBQUIOl_uADc_bXnBMEFOaW0-c3ecrem_IYwK4R7-4iHEsB7CiJL5kcJXSx9oEbVXrI4XV82_A6S20HJcs_zgHgZkt7xye2YtSccUpIuDp7AMVIoPBnlA4g8gF_GgxkucTmTyts8UqIONdWCNxJcRvPC1U=,1,1,1489189886670381056,2022-08-14 21:21:07,2022-08-15 03:21:07,216,0,6,5.944166667,1,0.03219827,,0,0.0007089291408,../dados/processados/tweets_classificados_por_objeto_anotados.csv
gAAAAABj7UmKprFLmK6p62w_xKf8Dru8JXX8YaW6JqqbdRmo4r08jAiQWfXD1PV8JAbRiuLdoYTdXJvqWJA7xzKHW7_z4wHLlutbaajX_9742d0a_rh6PQs=,2022-08-15 09:50:39+00:00,"{'mentions': [{'start': 0, 'end': 12, 'username': 'BolsonaroSP', 'id': '74756085'}]}",gAAAAABj7UmKMYeGefLNTDrZQ9Shv3VR_g6i_GW_qs9b-Plysg_X2LwGIDj9J6_vXoqefDAjeoyEzSycYsnRIwrb4lfFupXqVw==,@thigagliasso Esse fneto é um zero a esquerda  affff,52297557,gAAAAABj7UmKykyv3GJx5nPM0KqnnR1eHOra6z_voJRdzovrrOHDMfpI37od2qwaUlMWG-hW9SO8_Bj97GT2Qyn22X1gwAp9bsvC3at_51WkKtFLi-qnqj0=,gAAAAABj7UmKfGEHttEOSkG_GyhS4rd09JKpXL_EgTKOQ2iPqy7_nT0uYWuURqhY9aV62eo6eq__r20j1m9Y4_uuB5NfQs4XYg==,gAAAAABj7UmKTWZDcAksyLB3uGn4KtWvukM0uGmCK0l157MEzxj4_mXLuh2xg_jd7w07aYUwbU-PBScjlm4aCoMl7XTevUKp_rqo7SvbJts40sh6pS_t1TsCGt8e_r-oqfJY6GnWg2eRlX17FNWuXXZPEsKVr_t60nv_FYfK7wjVwtkZaJ8N7VY=,1,1,52297557,2022-08-14 15:02:02,2022-08-14 21:02:02,104,0,6,5.703055556,1,0.3646042,,1,0.0008575834904,../dados/processados/tweets_classificados_por_objeto_anotados.csv
