id,created_at,entities,author_id,text,in_reply_to_user_id,author_name,author_username,tweet_url,n_mentions,direct_reply,batch_user,batch_start,batch_end,batch_tweets,batch_errors,target_t_win,actual_t_win,t_win_weight,hate_score,batch_time,not_the_target,random,target_weight,filename
gAAAAABj7UmL9NAI2KntAWmyoF141Up_N6vT0Y1q7pINl1faIKEoPX591wzUY_evza2skOZtZeIUBZyReaTvjG7-z9mkbGWIkPUUTMW-RjwWhs_2hx59W9s=,2022-08-20 01:02:59+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AndreJanonesAdv', 'id': '1198004545'}]}",gAAAAABj7UmLhuEnO6ow8YXxNvx5mvVzmlWzo7_CBjsZh3i8XbV-HoBk2hGsKZ6cheXRpuCl1qiG52gj-btBxaxWGfJ3rsvahGKEJ_BkEw-NHwqRHt1G8vU=,"@AndreJanonesAdv Cara pra provar q é o maior lambe saco do Loola, começa a falar tantos absurdos, debochando da morte da mãe de outra pessoa e ainda debocha da população comprovando q o STF é parcial e ""livra"" ele de QQ coisa.
Vc é nojento e moleque",1198004545.0,gAAAAABj7UmLrhGLnmIK7w2qpbespP-y2dH62WggNX9sZySM8RIHu0t92BMxzvJAN5o7tbux10lUSlphmEJkndRlWVAy8qg_SGj3EUyhVtEjPL1o5x9PFBw=,gAAAAABj7UmL0yG2969UuJMav1kx8AzQp4Ru0cea9m3wk_4V1uGrpJwWgkN-UwYO6CZL2_IjcaO8SKCOQoRhzarvZZE3WvEmBw==,gAAAAABj7UmLDT9tfxMNDZSl7Ad5idFBlfIg5CnXRosTTIYlyd8R4VRjdNCs55shwNNNdpo7-01JD69dZqYjHV_iN0_3UXdSpRfwsG9qIWX_trb0xpiy5iSTIZQLiiqz7eEcIkhNLCISvUCa8jaxIqnIkR9mNFkkha5dvmQT6vhV3RCnciv_2PM=,1,1,1198004545,2022-08-19 19:10:59,2022-08-19 22:10:59,832,0,3,0.3927777778,7.637906648,0.54069567,2022-08-19 21:30:00,0,,,../modelos/nb_wrong_target_classifier_v01/train_data.csv
gAAAAABj7UmLp3XDouIZpGY9n-mlmMglTlDNC-qaToqvLMsTuW2_nP-Igr2fCKD-IR-MBueoLJYl2bH0LoduuOojI-HXpQWPWsE9oYesyhwms0dpqYSNcMk=,2022-08-15 09:47:30+00:00,"{'mentions': [{'start': 0, 'end': 14, 'username': 'ThiagoResiste', 'id': '1270774020808626176'}]}",gAAAAABj7UmLGrJOxCKCeIwG3V3NLqJrxZwZoH9lim-eqfQoRMwbFcN_scEr8xJfEHvgplNLHUth1OJnpio4qZFK02ahiLEo-fhP2fhZIVjF3F-Cc5que7A=,@CamargoDireita Sai fora capitão do mato safado,1.49e+18,gAAAAABj7UmLRZK37p_w1cmXS6aY5T8DkHEutgPvZWiwPFVWw1eVxDOofw3B1qpuS9khYo1Jk9Kv266zv9Zcz7xJzAdhePvpGfW-33uVZnIOCbDGFZvilqs=,gAAAAABj7UmLKYhSYizp0ssc4R7kzBOYVLrGLLaWYLdxg-toB9aJEjtRIyVlAbMru3D4FN4oCbIwuz4pjE9ODESSl31yYyuiow==,gAAAAABj7UmLCerEl236EB6e4rnc8nH07-jUQNbykVbMmUV6ITc-sIV-0D-ryk6Le7scnfRLbEGzIGeJI9cakKJrdv_GVtNg6QmcvuK40qEz1SZWWQ64MRuV-5X-t0g2xNnPuDtleNmrZzeTDViuwSMvH-WOEXcWYg==,1,1,1489189886670381056,2022-08-15 09:10:59,2022-08-15 15:10:59,397,0,6,5.9425,1.0,0.96656,,0,0.01144962362,,../modelos/nb_wrong_target_classifier_v01/train_data.csv
gAAAAABj7UmLeRDxBd-vGm8CQDytzCl_ZwHUz7mB2RtT9D0kBT5ZUrEzc0SHNutAi-9yjPEhaFJOHqjp_ESrb6Fru3Ivm-ZuvemYOYNeH9E8zZy_za00bJw=,2022-08-18 21:54:00+00:00,"{'mentions': [{'start': 0, 'end': 15, 'username': 'CamargoDireita', 'id': '1489189886670381056'}]}",gAAAAABj7UmL5E7XI-CVw5VyvNmYLoeet-0RK2tCoXBPfWDDKgYPPFsSVQm6GcZycddtlZ7t9acRFE_aXf6JxODTK_J4-GRpjQ==,"@CamargoDireita Já tem meu voto. E, divulgarei p todos - família e amigos. Deus te abençoe.",1.489189886670381e+18,gAAAAABj7UmLJUKUZT-akBt1nn9E_gTykKuXB25yMOJFBmxLp66rWhuEzUFjQjNwUqfGi2qFtywS6Wek0FLdwgknJRei0EWJ5A==,gAAAAABj7UmLE__N1ycEveQiuu1tmTj6XCU1A117gHsB5qKDWX9O-QddOG9am5Y-HOL9hl66QmerUX57RN-4E4iPLqMGp7nFkA==,gAAAAABj7UmLF4LIvlUcOJbHrrho8xh5V9Y6IhRtB6uLK9KN1F3H6qTqyhdepgKp-57nNIpVpztUSl_xhmVggTQvBcYVHUTD6Cvjfcph5sqTdy3bzvh6LqpaGuvpXiuEgzQ-VmYeSEV99Z79SmJwKiG4HfLtQp5m2g==,1,1,1489189886670381056,2022-08-18 16:04:45,2022-08-18 19:04:45,153,0,3,2.944444444,1.0,0.0064423135,2022-08-18 18:30:00,0,,0.0003486750349,../modelos/nb_wrong_target_classifier_v01/train_data.csv
gAAAAABj7UmLAyXzaxSoEA-gIs69UpCFMZ0Ps8L1VsTEB9kpx3jOOV-hq_t06e59OP6bYLb5RSGVHdRSFP2rSDd4fa1GUevEuEx5c95HBCOc-dGhkhmScj8=,2022-08-23 00:49:36+00:00,"{'mentions': [{'start': 0, 'end': 14, 'username': 'heldersalomao', 'id': '80575628'}, {'start': 15, 'end': 31, 'username': 'prudentemarlene', 'id': '1387024550811115520'}]}",gAAAAABj7UmLTN6XYFpj2RudCacPX59JpS1hXpKLzRofkm7ITRJ931gJxvXsTSRRlDs2-5D3nIaAuy8N31CR9uN3veaSK2O1TSj9rkvAHNHhN3MTC_iSSkg=,@heldersalomao @prudentemarlene Fiquei tão mobilizada pelo PANELAÇO que esqueci de filmar. Mas foi sensacional calar a boca dos discípulos do c4n4lh4,80575628.0,gAAAAABj7UmLlxJtPXyIgGNZOAyZPdSbkYH4xdDVqA_MGBENYhm8H-YOtIPd4geEzGAfNnhig26NvJVkrS0adqNAoqlK8pmGp_OTOq1eJ_NHSDwPy3gBlxLR10seGl3sEUXaDkJc_wzl8uPSBXnN1K9akHQaTwzyKg==,gAAAAABj7UmL4Q7qUhB2HU5qmGHAPgtyBtPKAnMbs1A31T3bGKf18mCs-QQN0D0D72H2-wIl8Obbkc6N58beqfu64UVegYYIAw==,gAAAAABj7UmLVAze9ES-kPVqxiIrpa6I_vYD4xU73dNalBhBotHTgWGY01wTpeVYAkNHrAnSTVSlkvIWuDRs7w_dq5GAvWd6yYsHSTCQ3ZqmjyBd1X4znmIpHvKZ96Uw-OfRzmXGZeaL7ncEwwqoiRCTszGwoDjj2r47mKHk2bBdGtpgEt_x5gc=,2,1,80575628,2022-08-22 21:31:41,2022-08-23 00:31:41,47,0,3,2.856388889,1.0,0.016910244,2022-08-23 00:30:00,0,,0.009615384615,../modelos/nb_wrong_target_classifier_v01/train_data.csv
gAAAAABj7UmLBvqrnl7VTAJAWupx13I2lSXbHA_QacrnGhFTkYnxpdjoxSla3SdBdLFuJrZQoh0oPgfD5gCnziLODip6LhC4vyt7-9NMs22bpFe622V9w04=,2022-08-15 17:12:28+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'joicehasselmann', 'id': '116519514'}]}",gAAAAABj7UmLfLXdgHlYzPt0J3chAS3r-bw7AM9-beObEgfyL8csn6HAqzgLck_jzlyqglUgyz3RXm1_nWdmYXRVTEDNHJti2mBnvetbRPTb0ywJOaEFRBI=,@carteiroreaca Varíola dos viados?,2797010717.0,gAAAAABj7UmLrqdnxQTIMvyLecPfZspEFDemVnhDuliRo3XacmRai2Z8zlTXOiyjyUqa80Mf-r5Zdp9wkEoD_fMfNrgVfkc-utnb_54LryZpFXeKqC0YuEqICG3m2M8Fo0fQ71QWWcs1,gAAAAABj7UmLsYDozGWZ8MGAOg5nX5HTh45NT1FXTV_nPA_apJcnt1GPB0W_bv8HMiOKSM2A3J27DscxN9lsqi-6dP3ICJ4ZTQ==,gAAAAABj7UmL3WuKK1zAP-0581eydCJ2s9CV71PcQhjIr8fQJ5PscB_voFiTAISvO2ba6WsFT0d70S8c31wL-FVkb_QAd5954ZnOBnbne86Pt29cWVtpDo0LGUUylax41k6TKdn36lv4FQssDQZP5zKwBTbxqPCNNA==,1,1,2797010717,2022-08-14 21:06:57,2022-08-15 03:06:57,233,0,6,5.859166667,1.0,0.83145744,,1,0.6641880114,,../modelos/nb_wrong_target_classifier_v01/train_data.csv
gAAAAABj7UmLrh0yB6gGnu4XcgU8sUiBeQKrX8E5SnW6g-ZeGio_QQVoXyBEuENwqym1rG58GQjg2Ghm5aYHxTZVeaAZojBgus1BHoWPMBMxJ_k8B9YSUr0=,2022-08-17 17:48:10+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'RodrigoGuedesam', 'id': '52954632'}]}",gAAAAABj7UmLYhPh1Zx4fAuc6w0PGYsLxnhCOezJ9I5r1c5TLRG2dwWDBZMuJW1faJOmS3rpWU8Yi3IaMVTDU6kTq4mJ9iMLkc23Gw8PKVPAqnIIW4-lC1M=,@RodrigoGuedesam Eu queria pedir do amigo que de alguma forma ajudasse sim nossa Zona Franca se manter de pé e gerando empregos aqui mais sem prejudicar o resto do país...,52954632.0,gAAAAABj7UmLj_f63a3BRJbmg_356PFu0XwfX49BRqwniTeohV4ExiF6lv8pAFr_Ux5LSALJEvtmwL-6E3eiLJCBgFC2uEKLYQ==,gAAAAABj7UmLIb28nTkBhOUp2GpmsbgvCqF5LbNh8E4PeTLXwCQxBdz3LfkFTKZKvQVXH4TBOh7Y-It-dfQZWnHA0wVULgvxNA==,gAAAAABj7UmLL4_hsuML0F6wBB_N79OmxRsVX8jv7Yuxh5g3wW9QLOPMNgB4oJGuLKWj4HXuMedwXjsvc1WRprH_zsqlt_wg9GBkZFe-IsIeSkUiya8Q9V1KM0G31Knnhl3XrguhnleSuFrd2acBQdUytViA1Dbecw==,1,1,52954632,2022-08-17 12:43:54,2022-08-17 15:43:54,16,0,3,1.423333333,1.0,0.0038837588,2022-08-17 15:30:00,0,,0.05,../modelos/nb_wrong_target_classifier_v01/train_data.csv
gAAAAABj7UmL8dq_ke0dNKUSAHO3EzBtiOjDFnwTUOA6iiBE_UjQBaoQbG2ITDfKtDcesSHf_Ru4KDr6mz1rnN9P805uz5pUcHdVfrLW5rNKxyHV0RCUv54=,2022-08-18 00:28:25+00:00,"{'mentions': [{'start': 0, 'end': 12, 'username': 'GMonteiroRJ', 'id': '1073226183461011456'}]}",gAAAAABj7UmLC4-1KbgpyIhZMLn2PB63czt80PzF39am0kFH9nb7HiHnX_JHX30WrjQl8l-oiNoYQ4V-3xUQawfhlXVhe4Eobw==,@GMonteiroRJ Se vc tivesse dito que pegava novinha tava tudo certo! Rsrsr mamda essa galera pra puta que pa...! Kkkk,1.07e+18,gAAAAABj7UmLZOkJVfeRX9-RaGQcmn_XthJGMdx8X3IWadByx5ymUG-z6r-_3fMIKw4rq8LjTPutd4HXm9WaGXXimfbuRVqMFK0aDtXCi6Fh2g283LiLMHg=,gAAAAABj7UmLImsEirlmagL-fM_wczWiLPVwKtq5KSBW1WPffEblr4E9Yd6sd33DCCHigw_AymjapKEI03vbGXRduOaIzIIOqg==,gAAAAABj7UmLNKV3hGcF90Helt419x8AlaPkD36MLls8Pw7wqC7eZKfW-Ssmfu8MSmcDEOWimpKFtCan4FtgnED02rQaQu1JF1hq36G3hI93WeGzHkv5R5MNYtj4Z-o84cm-gBGO9MSksjKYLKwzHX4MT-_tAaVxSEct1Wrnz9jkptRcyJOi1qY=,1,1,1073226183461011456,2022-08-17 19:06:42,2022-08-17 22:06:42,415,0,3,2.975,1.0,0.95706993,2022-08-17 21:30:00,1,,,../modelos/nb_wrong_target_classifier_v01/train_data.csv
gAAAAABj7UmLTIgU3_4GPXjRZLgE43ZyXlUyQt1ZtWLdleFXn3WMYGBM8Dc4VzMKqCwe95vAmjkL9wN09anLoNerP2s8D0VY8me4ue8jCnfremXcXqNxwVs=,2022-08-15 00:29:40+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'GuilhermeBoulos', 'id': '762402774260875265'}]}",gAAAAABj7UmL7z5v7Uic7DkXCcgTsl5IYigRa9YmUiVAtbIrV3r371m0I9oELs5xGqiCTdRROzABqdcahXnvV1RADuKcPWavkA==,@IvanValente Vagabundo,112498734.0,gAAAAABj7UmL46PMWfreZjWKuYZt0fvhZw5G1FrkboqZTN9sfEVuqy1WqgwomByMxeEhr20T7FROYkcTeJim8E7u_q0EtMdPB2doy87hhlXKuHcBhzBkQwU=,gAAAAABj7UmLL_VhE8uyyxfy0BXqckvCQooQGK3g7nn3WoUyMbDgx1QnQ2L--MVYkMfZ8vvVUCI2x4bWxZwk-cHW1vFnpTLNfw==,gAAAAABj7UmLIbARTyM4vElP7ZmfuMWWEC_PHYluZ1Xlem8WGUuaWF1rMSG5mtv-bc1oqjG0nK-PbhjUZeGfst33yL5OMAiX6hI7-QYUZEdsWFoYviZMa-aIzIu_x2SM4nNiKIgdnXqGnuVRsMyRM2Pv2jZkbi_drftQK0FlLx7Hy2uDPW05kKA=,1,1,112498734,2022-08-14 15:15:33,2022-08-14 21:15:33,847,1,6,4.675277778,1.283346206,0.8266349,,0,0.7457585906,,../modelos/nb_wrong_target_classifier_v01/train_data.csv
gAAAAABj7UmLz1LLiSXDqsstLoADIZuGH87n76QWnUTH3zYDHPLscsIDZ6lgxYZa0RQYnV6wL5W5vMINOPMXvSrpvzGboV1Ko_JMlYoWKMBTp0Z5WFlVWPQ=,2022-08-17 13:56:24+00:00,"{'mentions': [{'start': 0, 'end': 12, 'username': 'NatashaPSOL', 'id': '1124140833547141121'}]}",gAAAAABj7UmLcXZFCKtaWdNtVQ5OUEj4eB4LlD8vZ7s3LgBvqkLI1zxK-P4qf2bm3lUDVAU81-tlY0vhkhtBqhI2qqmgmaGbVQ==,@NatashaPSOL Eu nas aulas era bem assim hahaha,1.1241408335471412e+18,gAAAAABj7UmLVyRp9p8TgDJ7ZkpPDmlBVxDV1lx4Zhhr-UE-lplMeS5H49eM7jNFQNqH89KH9CXXY-vnKWQRf4s1b4pS8wloRoT_qVeH9BECB_UEXO0GQls=,gAAAAABj7UmLcaN5imTggRPcvNXAuU_GvLPdHfuBi22HIonbD-etVx6s_4odLTrIwEV5fXgUzD_Vyo1Tf_gSmdv9z9Ln7vMEQg==,gAAAAABj7UmLA7i94mVAHjfZtJu_iAFu2TbeO9VTby0pX7dT69MxEDHgHkBt5S4jEd98tZV-sLcMNgmyQJUDJsnMaVbx8Sv3-EP4uhVTx3w2TZmDXQIYtCvd-PMXuPYWVVNUsZujFacpq0mgi885m1gKMYns0Lp2X_5UHtmLDSgB0hFFb-aPzOg=,1,1,1124140833547141121,2022-08-17 09:43:04,2022-08-17 12:43:04,3,0,3,0.06972222222,1.0,0.03607308,2022-08-17 12:30:00,0,,0.05,../modelos/nb_wrong_target_classifier_v01/train_data.csv
gAAAAABj7UmLdh1Hw8evQB9bGLFRqV_Bewr5r0o0W2rorP3RLYDtIHl967w87EluRyfkO2BbSihf7yIXTnLazSJFChcUHBhpQPISwb4prVgcSgo0UNpIa8I=,2022-08-15 23:48:48+00:00,"{'mentions': [{'start': 0, 'end': 13, 'username': 'CarinaBelome', 'id': '1238554035092930560'}]}",gAAAAABj7UmLwtPd8fnRdxFUEzxZ9uqYyHxHhOmulyD6pqRWaTE1_mSnpTwOcJiy_B7mLyYrI7-wyT95I1M9zCGWbIv6XklubA==,@CamargoDireita Bom dia!!! Parabéns pelo seu trabalho!!!,1.49e+18,gAAAAABj7UmLyDrYAuujStPM23JbNE_-6zb1vjfI1nXNkR0skF1UoV-fnr4x5YGsGACu_nfmemvK88Z8G91Q1bLchsS8_YNw7N4Kha_rbAVARFKE91l6cUI=,gAAAAABj7UmLLWRNRlg1IdDlswAU_2zaitBLJwo66uAD_TOPpz1VXCzZwhZhvZStT9hqGBaj9xzGU2KPK3iBmeX2tfWgWP1kLg==,gAAAAABj7UmLf9ounLc9-J5ygK6RezPtWpykvYoXS0RtUh4MeVUyA_25E24Q_rpdhHsmUWt899IDFhUNMImvcMSXd4OCesetDqJaAhFxFUiDjhxu0NcSLLNATXlUS64fw0eBDesrKVpzABNrxyHekvwdcn-tmSqf6v5nmShcp6TMeDvvJrKkXB0=,1,1,1489189886670381056,2022-08-15 09:10:59,2022-08-15 15:10:59,397,0,6,5.9425,1.0,0.0037400706,,0,0.002778096743,,../modelos/nb_wrong_target_classifier_v01/train_data.csv
