id,created_at,entities,author_id,text,in_reply_to_user_id,author_name,author_username,tweet_url,n_mentions,direct_reply,batch_user,batch_start,batch_end,batch_tweets,batch_errors,target_t_win,actual_t_win,t_win_weight,hate_score,batch_time,not_the_target,random,target_weight,cluster_id,cluster_weight,filename
gAAAAABj7UmLeCS6Ob_X7jT473Ha4EkWFty4et0FZQWaMH0ax5jn0PQONk-ZLKQky6RTFHgIJxsVSENilUHYfpsu8pDkielqTwnLOGO3QVGl8jvZOKVbov8=,2022-08-14 19:07:48-03:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'CarlaZambelli38', 'id': '975127727501185025'}]}",gAAAAABj7UmLYCMeXDMDzRJGnD9Hf4Q1zBdmSFIfKJRj1s9B94k8ra7CQ2CQGYU7MZZ7jx4UPjVrzFTu1kd4fXDYJAr1dX4vPq1RqD2HpQcbxZON8vG5vtA=,"@IvanValente Um sujo querendo se limpar ,",112498734.0,gAAAAABj7UmLQFuAjwe3QVBvaSXSXLjINYv8gtamaE3T8RJeQN1gYJju4sud_n9u6vuznJfpFmHH_fodl_StlLAnDobt-fV1hA==,gAAAAABj7UmLn3cU-3eBMOreFOmerS7-nNVpuB2LiC7_TFIw3fqnFT1gT0mItZC6-JaoUPnr7EbXkosAEu5HUJb2EzYgD6QFzg==,gAAAAABj7UmLghGXN2eWPXkdwjdsOXIGFDwlOgetejmI4ik2oyIvf_Nv60NrOxlj7AHuYBh3yY4mSxEz0c0GYt5BgWTkW-SHGssx0DaFaUsgvqvze2rwG1kkYklbjXhkdfrMYIT44EgwLw4aZkaGoppWE5jmGIHrFIeF7uq-kvS5pcauHbod72Y=,1,1,112498734,2022-08-15 03:19:14,2022-08-15 09:19:14,349,0,6,5.991388889,1.0,0.42142534,,1,3.360989881e-05,,,,../modelos/nb_wrong_target_classifier_v02/train_data.csv
gAAAAABj7UmLWWHiXVHhja1D4KpRyE1K7WTyICWGXAGircGXJg_GgYP5Wqi9vQbRkwvgzfP0Y00fkvqWqSLNiYbe7ftDNf12JF9qYYjQ4mz9dfIQ7GtFkmA=,2022-08-15 14:55:03-03:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AndreJanonesAdv', 'id': '1198004545'}]}",gAAAAABj7UmL5HS7WRWN1ut8GRwKyat_R7aBhb1uhty0qSSMvGDAVSZaYl9Wwavqmw8KOgnnknjxXfLebOzitxIDHoSCaU-ryg==,@GuilhermeBoulos Grandes💩,7.62e+17,gAAAAABj7UmLIYrHz2N87ImQB0G6FTSczYF0HIlOuVEeQUm6VgQ6-tcMo8WiouZW95QfjJ5hS-MTe1bL54K2P6BNCmzr8YGhgg==,gAAAAABj7UmLzJjrjpdMRcuM1DCb4DFVljAJWhjM3RiAQCNk_j1U0mXR2d5PsG8D-SzsqT2tk81L-MJKPlIUUT42aQgAhPLXbw==,gAAAAABj7UmLlwKscUJjy9UVPCL5su74ZDWie3dhO3rUXFBXfhnL2UEYjRntbTKTmpOhB376D1ux50fJ5JDqKoMFoRyhFyXlttnhEyGJ7FtVr4ZT3hF9WEwKEc2FqiS_YWxaQHCqmfYqMNnjg0ffsgvzjXprs53GMw==,1,1,762402774260875265,2022-08-15 09:01:33,2022-08-15 15:01:33,846,3,6,1.465,4.09556314,0.032777254,,0,0.0001413261188,,,,../modelos/nb_wrong_target_classifier_v02/train_data.csv
gAAAAABj7UmLj06N8hckO9mb3a9AnjxUwTyRl0YC10WPXhLD33sQ2fJC7SIjQAdslXcx3UZ-fuDV9ACR9GOUyTzM_r_ghqU7DdUPWYZP29cLijOBp81c-f4=,2022-08-15 15:08:29-03:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AndreJanonesAdv', 'id': '1198004545'}, {'start': 17, 'end': 29, 'username': 'LulaOficial', 'id': '2670726740'}]}",gAAAAABj7UmLogemJRmy9-btL1CjjJUqFP9s0PDiC3XQb6E0dqI-1rpZVnnED5roTvUQJxHiVg7m6ZoipExbURXW5lGr8OtYLA==,@BolsonaroSP E um merda fdp,74756085.0,gAAAAABj7UmLxeQ32U3vePWi_2KXQzne1ZbUp4s8xgIMMUf31Su3H7TDM6MR4h2_ZjrL7Dpis_0NOD-d9t1v8Gkuh1WcW5biRw==,gAAAAABj7UmLmVL_T6YeQrPjn2gQ5B-zzYXNFoYhGvAXTt7sO5cBlNAk1dm-82C4k3-rSao4q_AFeIgtwjhqlKqvzCkKolei-g==,gAAAAABj7UmLmmNftR9AV6AxBSMUEcIgFLhD1I1OAdlv_A0KRrJJ8fkWa6jRl0o9JTmc2o0hcaz-T6udj2_9fSt-f-5qYT20l2zB5dQNxVs8op_8KR7_2WEAWPwNFXqO5BHUss5rxUu0n-qPG_S0DGKeok0tByJJMD_lFU50y6Zc8hpupuTXDRw=,1,1,74756085,2022-08-14 15:09:44,2022-08-14 21:09:44,843,25,6,4.066944444,1.475309064,0.4817699,,1,0.0001736035051,,,,../modelos/nb_wrong_target_classifier_v02/train_data.csv
gAAAAABj7UmLdAaPsY15oJ6PBuLr1yggmiMY20HKQ0LrOiKVGhRm99q2_ATA23dAajZaFjrgcCC1hArKfrhwNx716YHiAD_p1Ka4Ltd4rB6j1iBzJVMONT0=,2022-08-15 01:02:27-03:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AndreJanonesAdv', 'id': '1198004545'}]}",gAAAAABj7UmLWSsK2Vw7h5DtS8orJQEc6pLu1W7ArAWBHobo6IQqoV_bUGLAtb3Di8QYSBFjsa1dvyi2QN1VXpV60CKEn8MLMY0gmmrDYxtJWWLadnMc9OQ=,@verdouglasgomes Ué?,7.456118332481862e+17,gAAAAABj7UmLRrf-Yviul8tlj194Utah16u4mhjBixkH0IN0eMUUKIB3e5EiV1_RObDpl1soYTl2RI4V9m0xcsY_mWglfhXChw==,gAAAAABj7UmLJPUiIbbzyS3l4EVO3du5OAfh5WZWPsVSoOwgfLwjKM7FWz-PUW_GTYicOJ4xa9OIQI7plffvj8-dboqwoAcjnA==,gAAAAABj7UmLh-Kg6XKbwscRU2fW8taPMVAgXnvaftJgsC2z57reerIggnnGxekUa_9dGOrUme8x7rwFzUZpfL3nUoqvC5FqSFGS0eYL__P43cUjLPsLS-TKbeYrvWWHSFaUpJkH9UqC-QZry2jKc7vTd6KhMn2ud8H3S9z9PZdSRLoF22clHyY=,1,1,745611833248186368,2022-08-15 09:00:42,2022-08-15 15:00:42,33,0,6,5.694166667,1.0,0.019926907,,0,0.0001935963,,,,../modelos/nb_wrong_target_classifier_v02/train_data.csv
gAAAAABj7UmLRHdbfBZpRL-etbXDjSjW0IZ8FYhWjcR2CRYLXmPlBb6tA5iYVDjO7Iy3P42jKUuvqBIKe-mGnzeTDDlcCFiLDPPgMLXjLRYpoQfvVOhNDts=,2022-08-15 14:58:38-03:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AndreJanonesAdv', 'id': '1198004545'}]}",gAAAAABj7UmLAY_GsJQP0-yUKrQX8gmt3U430D4LBtugy96I2wnxYSwaeSTt9lT2YQOikIqEeDh3OdeIefOs8Fc7CJQTLnTTwGasgMRIhxL61uPtbeNDHrQ=,"@AlanLopesRio É Alan..... Isso tudo é culpa do bozo, como dizem.por aí.

As pessoas se acostumaram com cabresto.... não aceitam a porta da gaiola aberta!",1.16e+18,gAAAAABj7UmL_aGzBjLA3u5HvWcKIez5VyNFBdZwnp4hch_HOVOcabV9INlIEbDNdBuZ27aNG7p63aYbtb5_diiUbJyc5NIJyQ==,gAAAAABj7UmLmTr1_WgGUjovTfsG2qXifC-HxmUBMgAQvNsag-IrWa9UeOc0Q1-lipOb45fYlwXWO1j8Z5eE_bW3myg_D5tnbA==,gAAAAABj7UmLLNml_sj7r081R9uxhP6F6ANOPDQgxH45QqaZ9Acuwa_y8SpJ_X3jHEyxg8EaEUG0zVbwuXwBoGSiQDl1dO8tX6CWTBHbNsuZ4pdDiM1zHySmbGIep1RYYG8EmZ4jBSP1iCVBWsuk_kk1GJuUuE0BE95CvDaSgielizpPf4oiWx8=,1,1,1157984524116156416,2022-08-15 09:01:08,2022-08-15 15:01:08,106,0,6,5.961388889,1.0,0.37517238,,1,0.0004998795917,,,,../modelos/nb_wrong_target_classifier_v02/train_data.csv
gAAAAABj7UmLVVMM8ZDecJP3_WgFM9335keB_xVGVmEdaMKvHvw69UESCbFLnFGeqhg6Qs23-UE-ssPZSx-7aNhD9CBa3fUjMpRXFl-WcOJxEZL0AH7Aibg=,2022-08-15 13:55:46-03:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'GuilhermeBoulos', 'id': '762402774260875265'}]}",gAAAAABj7UmLaM79RL5wWcgU-iymgR0mDpoGI-xBkLdDG_g_DOiY-ecZVxtJeic179_Dh894ALoci3uSyERjV9NnYuJoHfc3HjZGXcjUZ5FNr2ScHVst384=,"@IvanValente Cara se a polícia manda parar, obedeça,vai ser verificado se não tiver devendo um abraço. Agora se tentar fugir ou mesmo reagir.... E pau mesmo.",112498734.0,gAAAAABj7UmLIfMGzD2xpD5Sw_M1k-J1OfA4dNCjn-VG4u8qipnob9tj0gFkQuAJt5ahjdH7ZirQzcdqgCd4UAiOqQLhDS0j7Q==,gAAAAABj7UmLjSpc5N9W0YirnoZ0zWd5JCR78wsjF-bfo-ezqNpf-rzjlsdFpyZtSw8qgG7-LGDow1XC5onZOoNUBHFi4Go8-Q==,gAAAAABj7UmLY_E4T1G05ylQ4-kvCSDJGI4byxe6j2WogDRdJfKiraxIBfgTp1bFmkIUDFRzfXlAxkI8b58V3MPfozH18g3cYkx9jieIcorViqbZO5akZT_z0phCMLjXMoyfpwpxeRJJLWbB8GoRlREnaJy3-Z_jQQC_i67dVdxVWJtVTuQfDhU=,1,1,112498734,2022-08-14 15:15:33,2022-08-14 21:15:33,847,1,6,4.675277778,1.283346206,0.06029385,,0,0.0005571070458,,,,../modelos/nb_wrong_target_classifier_v02/train_data.csv
gAAAAABj7UmLUvBo_7SvYY-VdP1QbyVqtMfgW3uQsay7R3tLORbjCquRnleD18a-CI04Vt0YbkcyKdEDU-1d9sNv26CTFCE5IZ0Ad1N6ZKAEVAy10G3oZjk=,2022-08-14 18:34:40-03:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'CarlaZambelli38', 'id': '975127727501185025'}, {'start': 17, 'end': 31, 'username': 'jairbolsonaro', 'id': '128372940'}]}",gAAAAABj7UmL1uByED5nnbCcWTc3jieCHVPU0ElbfEWrx-RMl0VBJ1Bmg1HgYuOqaG0ESBHSY9yMy40LOFilDYTwFXj0Gs-QUg==,@CarolDeToni limitada,4566967516.0,gAAAAABj7UmL2asa22lhc0zxsvsm6mJXAM83dZEdyzXPvwqVmglTsbM2pMv9LSGcXetQ8ZPrIDof_hAbpYlT1Ql2SIx1sgZ7Uw==,gAAAAABj7UmLROsU43zjNoUxvBD8_otrwVv3UNabEBtrhrNydZ471xJjR32qdQ7jno0dgIDwGlWSo7r6A0iVoD_AjzFiVHDqJw==,gAAAAABj7UmLgPQFBTnUDzGGK5Znr0nU4X0XrC9mkOkwsSC4WC6I34VZt9bPaaftAYC7LKxLizUddQ2Xe6gWLLTB0pwWwZXFQ81TkwuNhCyaG5Mcu4bxkepaDdBimh58p3FzdmmRAT_5qCjny_DKpLIPGPZrlEL6GQ==,1,1,4566967516,2022-08-14 15:15:00,2022-08-14 21:15:00,103,1,6,5.95,1.0,0.01362561,,0,0.0005895551468,,,,../modelos/nb_wrong_target_classifier_v02/train_data.csv
gAAAAABj7UmL6uCv74Zo8pdL5_gRSriCJzPf2Vs6F515mLKS_4cOb8zSyvB5GQLX1O24n8jHKdUCppz5daotLRKwJcNvt0iiAXqYHuyorVFZEqwNkkoez0c=,2022-08-15 06:50:39-03:00,"{'mentions': [{'start': 0, 'end': 12, 'username': 'BolsonaroSP', 'id': '74756085'}]}",gAAAAABj7UmL6kZ8hvicwXm7-uO5z8OlQgBtOQh6crRgKwj5mGYGkcTDDflTKRw29J7k4rlD5veJJHdeJHTGZLHjmpaC2bug4A==,@thigagliasso Esse fneto é um zero a esquerda  affff,52297557.0,gAAAAABj7UmLS9YJWvTKIJLtSxPa0A_UDpO89TjiRCC8h8k-b3oSGwcYzZaaSZxYrwhd40H0MMtnzDr5PH7Ob_d_a4Xq2QLpjjYHt2hZiqtWgD84RVP7xU8=,gAAAAABj7UmLPs2BGyky2AeFTF8YfFuy6-8kokMdVjnVZWv1L7sIdtpOq7KtZPFYRkaggpWUbyOXvr3vq_YnHkjV40ofS6v6Sg==,gAAAAABj7UmLFlYLRzUADc1mSbA1-YaWIehMnbX7XL9ChX_EWfqt74JYYxYrfXHkz0mqfU1W3A2-O4yjDDPjykThQ1YyPgKBuYfqBaa3Q_oGm702OTDL3KHhkMhN6JIfaxpprHtxLsY7ZoonW0SHwi0FEWrHFKtcot1i0ZFSzrRppLhDLnZvZxU=,1,1,52297557,2022-08-14 15:02:02,2022-08-14 21:02:02,104,0,6,5.703055556,1.0,0.3646042,,1,0.0008575834904,,,,../modelos/nb_wrong_target_classifier_v02/train_data.csv
gAAAAABj7UmLW8gqm71B2LE4V4FAFN4WX9r_DJMJ0UN8TOWTyyJYRKhDAFgLZCyal0Re3TYBFoDUHmQXNOsEAE8BS5UcEkPXm_PQ-tTmBWjerf7ZyQ0zbas=,2022-08-15 07:54:12-03:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'FernandoHoliday', 'id': '97081119'}, {'start': 17, 'end': 30, 'username': 'IvsonMartins', 'id': '56112696'}]}",gAAAAABj7UmLd8AMkRMJC5xSKXo_L_voBLT6J3TjtlwoaqLm6gmYUT6YklFAyU4Z4yLH4bf7FKmj7flyL9vakVuSRHDTsUWyLw==,"@andreporci Pobre Bahia,  "" capitão"" pocilga.",67183252.0,gAAAAABj7UmLDTeioX53Nqz0lG_1AS6QkmzIDP_tDmLT1qYiRP6TUdAuJ04AaiTtZidl-3IWDfYSH8-opJzlDlZtwESzwpPmCg==,gAAAAABj7UmL13hJVCmjzLPXsnQYrheOu4sQfBFdPCDYznflwimyb-ZtrXZVf-PvvA_BUcWrgnSw2w2tjVacE8GTZWBieD9QsA==,gAAAAABj7UmLqxKkUlyNbaBR_C5FrExfAkklDaZwlIxg2k4cZiSjAiM8KBnLgSeltWa756EezH4zX6FKEbLfRVbVWDbNJ8EflFOuhwOFWd-DJBrB4AgD8dCjGwDpIXqcq8C0AyybGZmcHd5bQQAXZA_2POgUHevZHA==,1,1,67183252,2022-08-15 09:08:43,2022-08-15 15:08:43,215,2,6,5.806111111,1.0,0.4037966,,0,0.001067854935,,,,../modelos/nb_wrong_target_classifier_v02/train_data.csv
gAAAAABj7UmLMbRa_s3bi7ZoD0Mvy4qSCiWFCdOL-aTPnbihbM9GgtdIF0uvSvyE35Nh8HAT5BTkfVcRWQNKnHgtWrKS8IjEru8F4gcnvJSdKvkJs_irYXI=,2022-08-14 19:15:33-03:00,"{'mentions': [{'start': 163, 'end': 177, 'username': 'marcosbrazrio', 'id': '460343731'}]}",gAAAAABj7UmLfz9y3c7iCy3Dy9McMjvwMtX12RHweNg31w7F62AyHDkwGLnYVXNnPzR_X2cwKGNtBw2mlixuoodB9Ko4-LQ2XQ==,@thigagliasso @acastro69 🎯🎯🎯,52297557.0,gAAAAABj7UmLRykeYX5aclijDhsVyjz6oXxfziG8IBncsCNia7K_AySEJ_-WfovyTbB_yIeQMAik9i3MFFrk-l5druk2sH_ejB-bQBaVfOP5_fdSN4tQ0cs=,gAAAAABj7UmLfiNoNhTAL6RA5B02Kcu378vgDS_oxPPQHtQ4HqZrReyTGJfbKtwRvuC_UNWRXuqZgDt5BXpfeuzB66J2Hp-8Ug==,gAAAAABj7UmLHlzJAt06WvEQBD9KyjJ-HFenT3W8ZfdT72fAAnOb6PcdF4592v6v1MTeG1PiNczh0n0FxUIv0m484qifqftwX5DE4kCo1-jKTab00KGtDIclC-KlPuKaQQrdluuKOz5t1KGUo-N1mcbvuTPnC7Yc7EcW32bc8vwJ9SKTowgMRAs=,2,1,52297557,2022-08-14 15:02:02,2022-08-14 21:02:02,104,0,6,5.703055556,1.0,0.021617124,,0,0.001131327641,,,,../modelos/nb_wrong_target_classifier_v02/train_data.csv
