name,username,created_at,description,protected,id,verified,lower_name,SQ_CANDIDATO,instagram_url,n_instagram,twitter_url,twitter_user,n_twitter,same,followers_count,following_count,tweet_count,listed_count,days_created,digits_name,digits_desc
Paulo Violaro,PauloViolaro,2018-10-17T02:27:09.000Z,😀,0,1052385494984781824,0,pauloviolaro,250001597717,https://instagram.com/pauloviolaro,1,https://www.twitter.com/@pauloviolaro,pauloviolaro,1,1,18,80,449,0,1400.8978125,0.0,0.0
Neri O Carteiro,NeriOCarteiro,2012-07-25T04:03:57.000Z,,0,715435836,0,neriocarteiro,210001620220,https://www.instagram.com/neriocarteiro/,1,http://twitter.com/NeriOCarteiro,neriocarteiro,1,1,21,4,1,1,3675.830590277778,0.0,0.0
Alyssonlima,Alyssonlima,2010-05-09T17:47:18.000Z,,0,142011762,0,alyssonlima,90001605342,https://www.instagram.com/alyssonlima/,1,https://twitter.com/alyssonlimanoar,alyssonlimanoar,1,0,5,3,0,0,4483.258819444444,0.0,0.0
Beto Pereira,betopereirams,2019-02-05T16:04:25.000Z,"📣Deputado Federal por #MatoGrossodoSul 
⚖️Bacharel em Direito
🤵🏽Empresário
👨‍👧‍👦Pai 
🐊Amor pelo #Pantanal
| Instagram: betopereirams",0,1092816222012534784,0,betopereirams,120001612323,https://www.instagram.com/betopereirams/,1,https://twitter.com/betopereirams,betopereirams,1,1,1599,203,715,67,1289.3302662037038,0.0,0.0
Vanessa É O Bicho,VanessaEoBicho,2018-06-06T13:41:03.000Z,"Pré-candidata a deputada federal (PT-DF). Vegana, ativista da causa animal. Primeira suplente de Deputada Federal. Coordenadora do Setorial de Animais do PT.",0,1004357501310074883,0,vanessaeobicho,70001595678,HTTPS://WWW.INSTAGRAM.COM/VANESSAEOBICHO/,1,HTTPS://TWITTER.COM/VANESSABICHO,vanessabicho,1,0,11,56,2,1,1533.4298263888888,0.0,0.0
beatriz,biavargas,2012-03-27T02:48:50.000Z,,0,537871347,0,biavargas,240001647446,https://instagram.com/biavargas,1,https://twitter.com/biavargas40,biavargas40,1,0,0,5,1,0,3795.8827546296293,0.0,0.0
Gláucia Paiva,glaucia_paiva,2017-09-24T00:12:54.000Z,,0,911745218613010433,0,glaucia_paiva,200001604075,https://www.instagram.com/glaucia_paiva/,1,https://twitter.com/glauciapaiva27,glauciapaiva27,1,0,0,83,0,0,1788.991041666667,0.0,0.0
Wagner Romão 13300,profwagnerromao,2009-09-22T13:41:02.000Z,Professor de ciência política na Unicamp. Socialista democrático. 🇻🇳 Candidato a deputado estadual 13300,0,76335039,0,profwagnerromao,250001611746,https://www.instagram.com/profwagnerromao/,1,https://twitter.com/profwagnerromao,profwagnerromao,1,1,952,1243,2494,10,4712.429837962963,5.0,5.0
Leonardo Vidal,LeonardoVidalBR,2017-07-13T02:35:12.000Z,"Engenheiro, Consultor, Professor, Empreendedor e Pequeno Empresário...
Entusiasta por uma sociedade melhor !",0,885326717337952256,0,leonardovidalbr,190001598414,https://instagram.com/leonardovidalbr,1,https://www.twitter.com/leonardovidalbr,leonardovidalbr,1,1,337,468,341,0,1861.892222222222,0.0,0.0
Angelo Tapajós,angelotapajos,2009-12-22T17:56:07.000Z,,0,98685731,0,angelotapajos,140001601509,https://instagran.com/angelotapajos,1,https://twitter.com/angelotapajos?t=J20wyXKuzkyqdPxL3-REAg&s=09,angelotapajos,1,1,40,53,120,1,4621.252696759259,0.0,0.0
