Data,Total de tweets,Número de tweets violentos,Porcentagem de tweets violentos
16/08/2022,22078,1146,5.19
17/08/2022,15288,1023,6.69
18/08/2022,11352,923,8.13
19/08/2022,12220,876,7.17
20/08/2022,15223,1183,7.77
21/08/2022,15399,1254,8.14
22/08/2022,31851,2878,9.04
23/08/2022,23843,1777,7.45
24/08/2022,15584,938,6.02
25/08/2022,22091,1392,6.3
26/08/2022,13431,718,5.35
27/08/2022,6426,350,5.45
28/08/2022,28654,1844,6.44
29/08/2022,20919,1405,6.72
30/08/2022,24975,1705,6.83
31/08/2022,8064,545,6.76
01/09/2022,16524,1012,6.12
02/09/2022,18180,1551,8.53
03/09/2022,21718,1385,6.38
04/09/2022,15197,815,5.36
05/09/2022,16092,905,5.62
06/09/2022,10372,550,5.3
07/09/2022,26294,1875,7.13
08/09/2022,21894,1600,7.31
09/09/2022,15058,1084,7.2
10/09/2022,14469,956,6.61
11/09/2022,11483,868,7.56
12/09/2022,13736,711,5.18
13/09/2022,14764,846,5.73
14/09/2022,9637,515,5.34
15/09/2022,9989,536,5.37
16/09/2022,13080,814,6.22
17/09/2022,18928,1066,5.63
18/09/2022,20308,1495,7.36
19/09/2022,19365,1664,8.59
20/09/2022,17894,1226,6.85
21/09/2022,17551,1080,6.15
22/09/2022,25648,1431,5.58
23/09/2022,15098,984,6.52
24/09/2022,12684,819,6.46
25/09/2022,15306,938,6.13
26/09/2022,17712,920,5.19
27/09/2022,20902,1033,4.94
28/09/2022,21659,1078,4.98
29/09/2022,24446,1331,5.44
30/09/2022,32486,2059,6.34
01/10/2022,17761,969,5.46
02/10/2022,55135,3441,6.24
03/10/2022,32289,1942,6.01
04/10/2022,22630,1305,5.77
05/10/2022,32255,2764,8.57
06/10/2022,33032,2353,7.12
07/10/2022,26566,1939,7.3
08/10/2022,20044,1384,6.9
09/10/2022,22178,1651,7.44
10/10/2022,18107,1258,6.95
11/10/2022,40881,3596,8.8
12/10/2022,22523,1841,8.17
13/10/2022,24092,1834,7.61
14/10/2022,36025,2319,6.44
15/10/2022,29874,2795,9.36
16/10/2022,63627,5198,8.17
17/10/2022,50487,4466,8.85
18/10/2022,36108,2753,7.62
19/10/2022,22874,1291,5.64
20/10/2022,35203,2113,6.0
21/10/2022,26432,1710,6.47
22/10/2022,37418,2422,6.47
23/10/2022,33181,2417,7.28
24/10/2022,47252,2485,5.26
25/10/2022,36160,2263,6.26
26/10/2022,51829,2434,4.7
27/10/2022,33760,1971,5.84
28/10/2022,29135,1403,4.82
29/10/2022,80238,7737,9.64
30/10/2022,52608,3726,7.08
31/10/2022,35769,2902,8.11
01/11/2022,57901,4080,7.05
02/11/2022,39554,3820,9.66
03/11/2022,34804,2774,7.97
04/11/2022,62775,4674,7.45
05/11/2022,53797,4024,7.48
06/11/2022,53797,4024,7.48
07/11/2022,53797,4024,7.48
08/11/2022,53797,4024,7.48
